mass,ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuelflow,fid,thrust,cost_grid
73654.30935230106,0.0,-75255.2630335377,58493.37716524554,30.480000304382894,52.321296871881586,4.77995567972306,100.0,0.3,198.3755,2252.0,183.0038,1.845714808456589,DLH3A_603,120168.38159665454,0.08199739954449686
73615.45823348821,21.0412,-75366.93143110903,56365.28866194246,271.1966154028245,52.30214588166594,4.778791134187492,890.0,0.358201,236.2169,2462.0,183.0038,1.8150711469117313,DLH3A_603,112010.28890810786,0.07799324269787057
73577.25934751057,42.0824,-75500.01293275584,53829.126060736504,534.4040382418107,52.279322558154504,4.777404483717366,1753.0,0.421911,277.3982,2673.0,151.4419,1.7977118972661246,DLH3A_603,108510.85234122656,0.07250637988204542
73539.44797039483,63.1236,-74073.38121096155,51207.93518651672,820.1022688215035,52.255946679312515,4.798949952471092,2691.0,0.487105,319.2153,2883.0,125.513,1.7991093759550911,DLH3A_603,108772.96995241918,0.06615810706806505
73501.62967354027,84.1648,-71276.90709290729,49212.271339557454,1128.2913071415865,52.23837057072445,4.840452484568512,3702.0,0.550457,359.4521,3000.0,125.5134,1.8042347063866333,DLH3A_603,109761.36116534568,0.05869853938587778
73463.72569864205,105.206,-68126.40124072983,46963.925622158546,1448.9592893415877,52.2185516274033,4.887169835887494,4754.0,0.611204,397.6364,3000.0,125.496,1.8079166599264558,DLH3A_603,110499.63485866555,0.05231792795395922
73425.7626563269,126.2472,-64638.35460652592,44476.29179135948,1769.6272715417047,52.1966021694055,4.938843476098033,5806.0,0.669435,433.889,3000.0,125.499,1.8179979348071513,DLH3A_603,112660.5771927207,0.04738892467548572
73387.59776228009,147.2884,-60830.809531046325,41760.49329315838,2090.2952537418987,52.17261372334148,4.99519211361689,6858.0,0.723958,467.4567,3000.0,125.5204,1.829850027104518,DLH3A_603,115526.49042945853,0.043862713698862285
73349.1863847705,168.3296,-56728.52228286345,38832.15507967969,2410.9632359421453,52.14671754902023,5.055835076421553,7910.0,0.774189,497.9897,3000.0,125.518,1.840674444515919,DLH3A_603,118565.97786432414,0.04232303125210228
73310.54523029923,189.3709,-52357.174690868305,35712.030625819134,2731.631218142429,52.11909120367763,5.120377808448658,8962.0,0.82,525.4357,3000.0,125.5334,1.8493723246382383,DLH3A_603,121902.99490678316,0.041967766826169206
