mass,ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuelflow,fid,thrust,cost_grid
76439.99989958569,0.0,-75197.38340745501,61695.7422947042,30.480000304418684,52.3212968723627,4.779955429552753,100.0,0.3,198.3755,2139.0,183.0038,1.8483505606473924,DLH4UX_557,121066.26342566822,0.09642642903682352
76400.2001114091,21.524,-75311.68834901678,59517.40860944219,264.3670148819137,52.30169372981953,4.7787629608332205,867.0,0.356658,235.2175,2354.0,183.0038,1.820447220876183,DLH4UX_557,113220.76892930138,0.07844933109106966
76361.0075427461,43.0481,-75447.30802662091,56932.87544689504,521.7888863836552,52.27843512563222,4.777349382389131,1712.0,0.41851,275.2017,2570.0,150.7177,1.8045511551134112,DLH4UX_557,109823.84892308759,0.05760674223438842
76322.17807840552,64.5721,-73965.53723310314,54290.48073768536,802.7456148097932,52.25487579172652,4.799708515150657,2634.0,0.481764,315.7783,2785.0,127.0319,1.8055948043129793,DLH4UX_557,110031.19638291645,0.03912530826716411
76283.34747891081,86.0962,-71189.64018797314,52196.26939502519,1107.2372001602419,52.23641021328287,4.840927980699716,3633.0,0.54327,354.8453,3000.0,127.0333,1.8181816671348163,DLH4UX_557,112702.08038900062,0.026381519370214334
76244.26281765843,107.6202,-68069.89269131822,49842.523990046655,1435.2636424343323,52.2156390668403,4.887212394553886,4709.0,0.600846,390.9603,3000.0,127.0351,1.8181833014511497,DLH4UX_557,112702.44993436694,0.02248798141670919
76205.19625861142,129.1443,-64630.654284947115,47247.563122440275,1763.290084708176,52.19271827014982,4.938186627377674,5785.0,0.656503,425.5387,3000.0,127.031,1.8242288471300248,DLH4UX_557,114116.74436562933,0.021438431702883683
76166.01140721471,150.6683,-60885.4131298208,44422.13863517074,2091.3165269820884,52.167736940817726,4.99363637759873,6861.0,0.709082,457.8459,3000.0,127.0189,1.8327823491950195,DLH4UX_557,116303.69546001553,0.020749041074174055
76126.64791732402,172.1924,-56853.920379606396,41382.101536814225,2419.342969256047,52.140829268216216,5.0532543859216315,7937.0,0.757961,487.5022,3000.0,127.0159,1.8413383655414584,DLH4UX_557,118769.21340251499,0.020820004124731915
76087.10100728952,193.7164,-52560.12647325803,38144.6285539266,2747.3694115300414,52.11214110328958,5.116672048710657,9014.0,0.802931,514.4011,3000.0,127.033,1.8486446639234737,DLH4UX_557,121272.0826171119,0.021461944863256244
