mass,ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuelflow,fid,thrust,cost_grid
73861.07036491788,0.0,-75072.67562405112,55078.75718750706,30.480000304354885,52.32129688315916,4.779955945891061,100.0,0.3,198.3755,1984.0,183.0038,1.8108293559936504,AUA3NA_1248,111101.89062761914,0.06751045699453352
73824.2610458112,20.3167,-75180.67151676354,53020.65639368904,235.2633024233945,52.30277574244612,4.77882862642027,772.0,0.363451,239.7763,2187.0,183.0038,1.7660903971723456,AUA3NA_1248,103248.7016355744,0.060739969349882766
73788.37452730704,40.6334,-75311.29602936456,50531.3171575009,461.01522129078137,52.28037381359629,4.777466251025301,1513.0,0.432197,284.3989,2390.0,152.5287,1.7496345461452616,AUA3NA_1248,100896.22421657425,0.050189283119306705
73752.84860271787,60.9501,-73946.71382154334,47906.76905854757,707.7357569067206,52.2569589693808,4.798100123033499,2322.0,0.501659,329.1774,2594.0,124.0706,1.7624559577042587,AUA3NA_1248,102710.3931359265,0.040012491435770355
73717.09198340772,81.2668,-71109.76315892159,45988.13104843382,975.4249092712208,52.240080175797054,4.840181095344389,3200.0,0.568346,371.7898,2797.0,124.0707,1.7898397737278324,AUA3NA_1248,107087.93821798704,0.031322610449713954
73680.7963644535,101.5835,-67905.13438080986,43820.82538518949,1264.0826783841528,52.22099579735258,4.887677394895,4147.0,0.630025,410.764,3000.0,124.0651,1.8182736785204563,AUA3NA_1248,112722.89584735633,0.02498743545895849
73643.92893309829,121.9002,-64364.249810349014,41426.61257763503,1573.7090642447406,52.19989131120202,4.940109819570284,5163.0,0.685547,445.3531,3000.0,124.0677,1.8293685559435635,AUA3NA_1248,115401.76271202261,0.02097313548104236
73606.84115903263,142.2168,-60523.8787703192,38829.6433076777,1883.3354501061208,52.17697327720186,4.996920701357008,6179.0,0.737082,477.0952,3000.0,124.0712,1.8405598760673927,AUA3NA_1248,118531.08663236584,0.021063956512481097
73569.5253597708,162.5335,-56408.843771656575,36046.57063265124,2192.961835967559,52.15238257937319,5.05772978533023,7195.0,0.784277,505.7885,3000.0,124.0759,1.8500248291157189,AUA3NA_1248,121663.84922739594,0.021043210724921598
73532.01319245521,182.8502,-52045.69693087588,33095.17471238067,2502.588221829037,52.12627040798659,5.122131985456227,8211.0,0.82,526.8802,3000.0,124.0777,1.8550073425850855,AUA3NA_1248,124028.63489276671,0.021159646049536997
73494.3717946372,203.1669,-47500.15007214478,30020.191093572295,2812.214607690528,52.099027504356,5.189146239882416,9226.0,0.82,524.9265,3000.0,124.078,1.847781003630179,AUA3NA_1248,121351.0288485267,0.020876826656592587
73456.88062577102,223.4836,-42971.593811912884,26956.660108487704,3121.840993552003,52.071848319045245,5.2558285954229795,10242.0,0.82,522.9655,3000.0,124.0753,1.839717928241529,AUA3NA_1248,118776.61708383219,0.017974354981925594
73419.55571408258,243.8003,-38459.92878195233,23904.86621181575,3431.467379413461,52.04473592321029,5.322181451420424,11258.0,0.82,520.9971,3000.0,124.073,1.8308483847820483,AUA3NA_1248,116305.9339796403,0.015008876944812913
73382.4124010306,264.117,-33965.23902497985,20864.82430754292,3741.093765274899,52.01769094597941,5.388204561251793,12274.0,0.82,519.0213,3000.0,124.0682,1.8212123537633402,AUA3NA_1248,113937.46048048389,0.013145054209187717
73345.46504220071,284.4337,-29487.465374358,17836.762648115804,4050.72015113632,51.99071594195386,5.453899750459597,13290.0,0.82,517.0379,3000.0,124.0643,1.8108635928631702,AUA3NA_1248,111669.71975795657,0.012323637064812893
73308.72673882215,304.7504,-25026.718673478546,14820.659753061964,4360.3465369977175,51.96381120680306,5.5192663869094964,14306.0,0.82,515.0469,3000.0,124.0616,1.799868192990299,AUA3NA_1248,109501.37202197536,0.011799678112492846
73272.20910464543,325.0671,-20583.13271673268,11816.461822752382,4669.972922859086,51.93697674474625,5.584303503658832,15321.0,0.82,513.0481,3000.0,124.059,1.7883124620813289,AUA3NA_1248,107432.7104634488,0.011501189714527245
73235.92207065651,345.3838,-16156.777421570652,8824.211206479567,4979.599308720426,51.910213427294025,5.649011057586066,16337.0,0.82,511.0416,3000.0,124.0575,1.7762615753026558,AUA3NA_1248,105459.37485127593,0.011500708035279573
