mass,ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuelflow,fid,thrust,cost_grid
73114.99894608035,0.0,-75072.67562405148,55078.75718750756,30.480000304351055,52.32129688315916,4.779955945891055,100.0,0.3,198.3755,2183.0,183.0038,1.8346193215967506,AUA3NA_1248,116806.85834942706,0.06751045699453277
73077.52891217728,20.4147,-75181.06842779655,53013.092375367894,256.91441248880534,52.30270767275634,4.77882448484203,843.0,0.359658,237.216,2388.0,183.0038,1.7989905506364532,AUA3NA_1248,108750.56397150765,0.060530225284267554
73040.79915734449,40.8294,-75310.79152023906,50540.931695674895,504.5202430589105,52.280460336261136,4.777471510480216,1655.0,0.424746,279.3574,2592.0,152.3817,1.7807778966521042,AUA3NA_1248,105550.48127827223,0.0495741056691652
73004.46304412605,61.2441,-73958.47679702393,47956.204139336165,773.2974920148766,52.25740190989055,4.797916452244747,2537.0,0.491119,322.0189,2796.0,124.1375,1.7849807770919233,AUA3NA_1248,106251.19526973634,0.03940504675846622
72968.06502517177,81.6588,-71174.20021311438,46068.45073684006,1063.2461593566366,52.24079409448763,4.839217876329984,3488.0,0.555437,362.9775,3000.0,124.1481,1.8030182744610312,AUA3NA_1248,109522.78539510086,0.03076681210906604
72931.31644318653,102.0735,-68035.52253731983,43939.56230815851,1374.3662450836107,52.22204741875626,4.885739519304209,4509.0,0.615456,400.7508,3000.0,124.149,1.8083508275313953,AUA3NA_1248,110588.35418263606,0.024619957227036856
72894.47518330693,122.4882,-64568.23231799062,41587.70274059394,1685.4863308125855,52.20131603003581,4.937086222057722,5530.0,0.672784,436.4901,3000.0,124.1361,1.8193939019962553,AUA3NA_1248,112978.00331555665,0.020764549137661875
72857.41677126742,142.9029,-60789.58151296317,39025.88974077693,1996.6064165416528,52.17870878923857,4.992989045088056,6551.0,0.726334,469.5107,3000.0,124.1201,1.8316550852577083,AUA3NA_1248,116001.25759164628,0.020673084852317135
72820.10953094241,163.3176,-56723.092521682694,36270.58366288722,2307.7265022707816,52.15436481728108,5.0530864834616125,7571.0,0.775594,499.5071,3000.0,124.0989,1.842575909446707,AUA3NA_1248,119154.23886093686,0.0206358072729401
72782.57660190326,183.7323,-52394.77235307713,33340.207005196105,2618.8465879999535,52.12844088984422,5.116980861288822,8592.0,0.82,526.1475,3000.0,124.0995,1.8510600207676366,AUA3NA_1248,122503.1535212695,0.020729648080763417
72744.83801071186,204.147,-47834.91061151778,30253.00444342267,2929.9666737291427,52.10109226266949,5.184212817406956,9613.0,0.82,524.1816,3000.0,124.1182,1.8432428526800253,AUA3NA_1248,119844.80386304209,0.020633207732281486
72707.26222370751,224.5617,-43293.205845999226,27175.9383844858,3241.086759458315,52.07379517065924,5.251095364601711,10633.0,0.82,522.2083,3000.0,124.1342,1.8345841204991744,AUA3NA_1248,117293.94168659889,0.01791663054507385
72669.86562186471,244.9764,-38769.5748684366,24109.27252930337,3552.2068451874716,52.04655252800464,5.317630649536667,11654.0,0.82,520.2276,3000.0,124.1443,1.825102073993476,AUA3NA_1248,114844.94935110601,0.01498976827922476
72632.66373318664,265.3911,-34263.763829926604,21053.52342542963,3863.3269309166076,52.01936952684143,5.383823294738053,12675.0,0.82,518.2392,3000.0,124.1496,1.8148513014502374,AUA3NA_1248,112498.28219797206,0.013082486646146444
72595.67093541044,285.8059,-29775.577696563792,18009.122010215127,4174.447016645723,51.99225057433923,5.449677085832139,13696.0,0.82,516.2432,3000.0,124.155,1.8038934230940171,AUA3NA_1248,110252.53011970158,0.01225265693746093
72558.90019367376,306.2206,-25305.085364636725,14976.11160265973,4485.567102374813,51.96519656980263,5.515191996569557,14716.0,0.82,514.2395,3000.0,124.1601,1.792311661154264,AUA3NA_1248,108107.963212856,0.011720735701703115
72522.36283694336,326.6353,-20852.33787285836,11954.563537916298,4796.687188103874,51.93820866371536,5.5803682596937945,15737.0,0.82,512.2279,3000.0,124.1629,1.7801692852456588,AUA3NA_1248,106059.95249876694,0.011409106545911216
72486.06837474587,347.05,-16417.284261638135,8944.701158177435,5107.8072738329065,51.911289374568405,5.645207588649725,16758.0,0.82,510.2084,3000.0,124.1558,1.767566405315896,AUA3NA_1248,104109.07455079487,0.011395769519669582
72450.02435383969,367.4647,-11999.475684937273,5947.3358749962945,5418.9273595619015,51.884446512770424,5.709717478763709,17779.0,0.82,508.1808,3000.0,124.1372,1.7545991666563538,AUA3NA_1248,102254.2645408274,0.011541348311417926
