mass,ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuelflow,fid,thrust,cost_grid
76447.799900017,0.0,-76546.09232878708,57733.1584683821,30.480000303104937,52.32859814245402,4.7088354763650635,100.0,0.3,198.3755,143.0,3.1752,0.9450977616592576,AUA3SV_1122,47325.79272877248,0.07928082166912626
76427.02386014785,21.9744,-76421.89478931487,59972.01320252584,46.47951577652343,52.348747041728885,4.7101519236739176,152.0,0.419871,277.5904,363.0,3.1752,1.0356180916211977,AUA3SV_1122,51641.63398975015,0.08874202855882968
76404.2822996232,43.9488,-76248.13712516794,63104.266632201696,87.00906816280278,52.37693619153967,4.711995543728991,285.0,0.53619,354.33,583.0,36.1368,1.3118422352355323,AUA3SV_1122,65969.81105928171,0.07581061651861337
76375.51176715468,65.9232,-73887.17911883762,66337.58629255935,152.06865746215456,52.406333188507205,4.746056680016034,499.0,0.640359,422.8569,803.0,62.5068,1.5838409065742836,AUA3SV_1122,83976.49453103798,0.0683224581960501
76340.79318967782,87.8976,-69649.69818240675,68542.84170542877,241.6582836746329,52.426717792106196,4.808055902978604,793.0,0.729111,480.9756,1022.0,76.4604,1.759588833191355,AUA3SV_1122,102293.58521204151,0.05932703078489496
76302.20634960798,109.872,-64368.155509840675,69814.68536682804,355.77794680024715,52.438800398778994,4.885696383403956,1167.0,0.801989,528.3658,1242.0,89.974,1.8420693447673975,AUA3SV_1122,119048.37784352523,0.043958207001547046
76261.77940502712,131.8465,-58401.511438747664,69817.39586445842,494.42764683897656,52.43949334607687,4.973710620665723,1622.0,0.82,539.3796,1462.0,101.1829,1.8567518564935774,AUA3SV_1122,124694.46173426977,0.03494491427278627
76221.00599063029,153.8209,-52427.52512156499,68636.36226174582,657.6073837907746,52.42947708068969,5.062022107805019,2158.0,0.82,538.3748,1682.0,109.9239,1.8594189653229012,AUA3SV_1122,125861.73658158847,0.027823344288326883
76180.17787648515,175.7953,-46714.56526464908,66565.6026973393,845.317157655575,52.41137211638582,5.146569231176821,2773.0,0.82,537.2166,1901.0,115.9754,1.861412319768282,AUA3SV_1122,126793.39984536912,0.02049681995216349
76139.30877308777,197.7697,-41265.02857358592,63910.58739664455,1057.556968433283,52.38793326302209,5.22723727796718,3470.0,0.82,535.904,2121.0,118.6185,1.8628997735289212,AUA3SV_1122,127527.84271898319,0.01779502861097478
76098.40976479943,219.7441,-35958.328858667766,61015.05709120267,1294.3268161237513,52.362267476862826,5.305742059706034,4246.0,0.82,534.4358,2341.0,120.7124,1.8639682696255777,AUA3SV_1122,128079.98087785191,0.01682258451066397
76057.48983099258,241.7185,-30776.879210656472,57937.01533492302,1555.626700726737,52.33490157623931,5.382329113481543,5104.0,0.82,532.8109,2561.0,122.7838,1.864683329698471,AUA3SV_1122,128464.87823126971,0.01484337404152394
76016.55621601485,263.6929,-25727.212589797942,54684.748776534,1841.4566222417643,52.30591340715729,5.456896577555732,6042.0,0.82,531.0278,2780.0,125.051,1.8650971273177872,AUA3SV_1122,128697.97720634277,0.012588218313654285
75975.61467558637,285.6673,-20828.410858365773,51248.07451916615,2151.816580667453,52.27521439654559,5.529160520255586,7060.0,0.82,529.0848,3000.0,127.1641,1.8653197454573107,AUA3SV_1122,128832.47392284319,0.011023913865089358
75934.6696226004,307.6417,-16078.96560808164,47647.742932324574,2486.7065759382344,52.24299532766557,5.599138644609244,8158.0,0.82,526.9802,3000.0,128.5112,1.8591774327911696,AUA3SV_1122,125828.74648951582,0.010515565034219212
75893.86437682138,329.6161,-11434.160216452685,43951.613763661066,2821.5965712090815,52.20987137220623,5.667482813136369,9257.0,0.82,524.8672,3000.0,129.7196,1.8521210818731981,AUA3SV_1122,122948.98284134583,0.010295041709638348
75853.21811492793,351.5905,-6886.775521331266,40173.67111338992,3156.4865664798517,52.175971132169614,5.734298198584181,10356.0,0.82,522.7456,3000.0,130.705,1.8441606507258408,AUA3SV_1122,120193.30090170122,0.009944381071694616
75812.74961016522,373.565,-2423.28371047626,36333.77926529183,3491.3765617505355,52.141475822685884,5.799782994265651,11455.0,0.82,520.6154,3000.0,131.2272,1.8353230120437989,AUA3SV_1122,117559.74017292049,0.009992766918524068
75772.47677792628,395.5394,1986.8495291777285,32469.296930426823,3826.2665570211043,52.10672344419467,5.864385077669814,12553.0,0.82,518.4765,3000.0,132.5452,1.8256628405527309,AUA3SV_1122,115048.21506408099,0.010127206541649529
75732.41625344002,417.5138,6289.045482329122,28520.806169374377,4161.156552291518,52.07118163608054,5.9273058627321085,13652.0,0.82,516.3286,3000.0,134.2332,1.8152298575027705,AUA3SV_1122,112653.29607740678,0.011187002050779677
75692.58301378418,439.4882,10455.608304302772,24464.305953395855,4496.04654756173,52.03463768785248,5.988140509000494,14751.0,0.82,514.1718,3000.0,136.3637,1.804112134966697,AUA3SV_1122,110375.29503123008,0.011556849658868914
75652.99005219102,461.4626,14451.59867295952,20273.426426038426,4830.936542831768,51.99685851411846,6.046378680485259,15850.0,0.82,512.006,3000.0,138.0344,1.7924036309665414,AUA3SV_1122,108212.74953665138,0.011112480021454372
75613.648108704,483.437,18307.265862971122,15986.094937495169,5165.826538101663,51.95818797768771,6.102465696098501,16948.0,0.82,509.8309,3000.0,139.2663,1.7802185036338694,AUA3SV_1122,106165.73736962152,0.009916240242965271
75574.56545788703,505.4114,22053.762330562316,11635.564444432703,5500.71653337143,51.91892689636221,6.1568602303120015,18047.0,0.82,507.6465,3000.0,139.9426,1.7676497556813104,AUA3SV_1122,104230.19323831696,0.009163781843562263
75535.74775158966,527.3858,25732.69768288907,7260.092280846431,5835.606528641021,51.87941968422908,6.210173694255543,19146.0,0.82,505.4526,3000.0,140.3656,1.7548243682456077,AUA3SV_1122,102406.63969724884,0.008842299539089677
75497.19791275285,549.3602,29363.345266609547,2876.749859661658,6170.496523910156,51.839820264737085,6.262690129456915,20244.0,0.82,503.2492,3000.0,140.5517,1.7418734636858588,AUA3SV_1122,100695.4709214188,0.004403699279382719
75458.91607485985,571.3346,32963.851044823816,-1499.0496703463027,6505.386519177991,51.80026719092596,6.314676757297814,21343.0,0.82,501.0361,3000.0,140.5572,1.7288976214770964,AUA3SV_1122,99093.67414997716,0.0
75420.8995608248,593.309,36547.9807292852,-5855.797146431366,6840.276514444879,51.760863714435494,6.366336439645483,22442.0,0.82,498.8132,3000.0,140.5518,1.716027911078867,AUA3SV_1122,97602.13898436187,0.0
75383.1428947729,615.2834,40116.492126786245,-10192.723639286978,7175.166509711248,51.72161707714629,6.4176817127514605,23541.0,0.82,496.5804,2993.0,140.5414,1.702466815351463,AUA3SV_1122,96118.50433944984,0.0
75345.65749336687,637.2579,43669.73226987781,-14509.494647200614,7509.27427564602,51.682530623031006,6.468719079399931,24637.0,0.82,494.3427,2773.0,140.5361,1.6583182311777218,AUA3SV_1122,91622.78348456498,0.0
75309.09280740938,659.2323,47208.718818683315,-18808.137544649067,7818.852004675391,51.643586387427966,6.519464422912904,25652.0,0.82,492.2602,2554.0,140.5288,1.6098385012630554,AUA3SV_1122,87305.58027680455,0.0
75273.54021637936,681.2067,50734.654418616825,-23089.82939326954,8103.899696795776,51.60477400752416,6.569936285677595,26588.0,0.82,490.3349,2334.0,140.5168,1.5570070370824296,AUA3SV_1122,83116.84089569542,0.0
75239.0851416005,703.1811,54248.97019093567,-27355.583783448634,8364.417352006056,51.56608453617448,6.620156424117148,27442.0,0.82,488.5686,2114.0,140.5071,1.500368613074103,AUA3SV_1122,79055.90035282716,0.0
75205.80667015305,725.1555,57752.57172996887,-31606.87028368355,8600.404970305763,51.52750494249393,6.670138803397634,28217.0,0.816751,485.0338,1894.0,140.5033,1.4391739985349106,AUA3SV_1122,74832.46467335153,0.0
75173.86776545043,747.1299,61232.25945358408,-35828.56286865727,8811.862551694709,51.48917294342153,6.719696472088273,28910.0,0.813351,481.5833,1675.0,140.4942,1.3749656218268496,AUA3SV_1122,70722.70488055669,0.0
75143.34797607752,769.1043,64688.96321677018,-40021.00855470765,8998.790096172925,51.45108580408092,6.768844726691631,29524.0,0.810055,478.3676,1455.0,140.485,1.3076253835707266,AUA3SV_1122,66697.55908640163,0.0
75114.31295741056,791.0787,68124.30399598919,-44186.18410966341,9161.187603740651,51.4132260229968,6.817608433316712,30056.0,0.806822,475.3622,1235.0,140.4848,1.2377294171957933,AUA3SV_1122,62754.30801451432,0.0
75086.82228497254,813.0531,71539.06985523675,-48326.38777145712,9299.055074398453,51.37557327060677,6.866000222515587,30509.0,0.803595,472.5324,1015.0,140.4826,1.165533579098408,AUA3SV_1122,58874.72262758727,0.0
75060.92977690572,835.0275,74934.6020612929,-52442.950311382294,9412.392508147599,51.33811582094822,6.914040752517335,30881.0,0.800304,469.8352,796.0,140.4783,1.0916568766544255,AUA3SV_1122,55060.33171194719,0.0
75036.68360526866,857.0019,78311.93431705351,-56536.82058891116,9501.19990499216,51.300845389551306,6.961746214405224,31172.0,0.797013,467.3076,576.0,140.474,1.0158339735459863,AUA3SV_1122,51275.968307930845,0.0
77219.99990004377,0.0,-75197.38340795842,61695.7422947244,30.480000300447625,52.32129687236281,4.779955429545342,100.0,0.3,198.3755,149.0,183.0038,0.9630043324388804,DLH4UX_557,48170.09413358201,0.09642642903480651
77200.54783709363,20.1937,-75305.36174954812,59637.975977081755,45.78460883118827,52.302778733413845,4.778828936836758,150.0,0.408412,270.0166,351.0,183.0038,1.0285885955770544,DLH4UX_557,51301.8448704373,0.08217303144340243
77179.78652818523,40.3875,-75452.30998837583,56837.55200460053,81.8047773722926,52.27757729530549,4.777297272374188,268.0,0.514484,340.0064,553.0,152.7132,1.2646479679461458,DLH4UX_557,63345.79175916702,0.0629898500148921
77154.2881899334,60.5812,-73833.73066999749,53699.84397708247,138.5405059241851,52.24958246080496,4.801774271848836,455.0,0.611264,403.7059,755.0,129.5983,1.5192452365589892,DLH4UX_557,79065.31846214535,0.0417818010552373
77123.67490653996,80.7749,-70604.15003524601,51028.26724916422,215.9917944869707,52.225982723166275,4.849769783407486,709.0,0.695807,459.1391,957.0,127.5537,1.7073299883333863,DLH4UX_557,95643.94386734755,0.026613281684921754
77089.26955904577,100.9686,-66825.65450878238,48123.29265469008,314.1586430606542,52.20033153691233,4.905814368828366,1031.0,0.767319,505.7636,1159.0,129.5891,1.8120667939191077,DLH4UX_557,111362.9285981741,0.026439643483109128
77052.73515418719,121.1624,-62780.4012781992,44778.06221110368,433.0410516451912,52.17072529362944,4.965787616567226,1421.0,0.82,539.7572,1361.0,130.5953,1.8557673080618298,DLH4UX_557,124290.24646891825,0.025158602390820177
77015.27943868634,141.3561,-58527.35549793755,41133.36479216085,572.6390202404973,52.13841776817119,5.028777490683278,1879.0,0.82,538.8982,1563.0,130.6384,1.858581639322763,DLH4UX_557,125492.37083427707,0.02631291271616681
76977.77022126064,161.5498,-54284.756833298496,37492.078939775034,732.9525488464494,52.10610636477231,5.091522469729576,2405.0,0.82,537.9102,1765.0,129.2698,1.8607779899448997,DLH4UX_557,126496.6607957575,0.028816956558997686
