mass,ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuelflow,fid,thrust,cost_grid
73654.3093523275,0.0,-75255.26303358175,58493.37716525684,30.48000030211967,52.321296871881685,4.77995567972241,100.0,0.3,198.3755,953.0,183.0038,1.4475921333849298,DLH3A_603,74175.11298739536,0.0819973995444662
73624.77082565436,20.3898,-75364.11897848401,56418.88617321323,129.19543325376569,52.30262821389423,4.7788204528204234,424.0,0.393902,260.1779,1157.0,183.0038,1.3968732010666967,DLH3A_603,70974.55608323465,0.07883466319911316
73596.30743822026,40.7796,-75506.89389289658,53697.99413461353,249.0306895327091,52.27814248108487,4.777332822705834,817.0,0.490001,323.2138,1361.0,153.0842,1.486777488321445,DLH3A_603,76788.30182727143,0.0749214275848077
73566.05652417053,61.1694,-73974.71248771102,50679.96443767103,389.98576913938047,52.25121242476816,4.800515465546405,1279.0,0.580825,382.51,1565.0,151.5994,1.6229758188238124,DLH3A_603,87271.86305381643,0.07046348501177986
73533.06003818742,81.5593,-72069.64385980919,47156.69840908508,552.0606720738791,52.21978356647961,4.829251676587734,1811.0,0.662422,435.4416,1769.0,149.0712,1.7395957190355311,DLH3A_603,99557.59702936161,0.06314109358619606
73497.69090440622,101.9491,-69726.40478538389,43245.89494463021,735.255398336203,52.184918455651335,4.864454061771373,2412.0,0.733162,480.9327,1973.0,145.5694,1.814062945636359,DLH3A_603,111790.8445427196,0.05529713402774452
73460.78740312676,122.3389,-66879.77716229654,39093.254853948056,939.569947926285,52.14792936918256,4.907026167906232,3083.0,0.792921,518.9124,2176.0,141.7585,1.8531713571927926,DLH3A_603,122847.94715587102,0.04945025449349693
73423.06212518497,142.7287,-63517.899054400346,34827.42833972628,1165.004320843987,52.109966545370334,4.957093160342938,3822.0,0.82,535.2382,2380.0,138.7902,1.864778355321428,DLH3A_603,128474.19959846462,0.046395965429569454
73385.07434347532,163.1185,-59827.92827842321,30613.857393150254,1411.5585170890597,52.07248794978701,5.011865528468827,4631.0,0.82,533.7074,2584.0,135.3767,1.865062325608729,DLH3A_603,128634.30052841941,0.044685492108624235
73347.08282097486,183.5083,-55906.08851728673,26640.110040113574,1679.232536661076,52.03716400767804,5.0698958913979775,5509.0,0.82,532.0406,2788.0,132.1862,1.8651149028940992,DLH3A_603,128672.30867170088,0.04364873355294741
