mass,ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuelflow,fid,thrust,cost_grid
73654.30935230927,0.0,-75255.26303361342,58493.37716525551,30.480000303524182,52.32129687188167,4.779955679721945,100.0,0.3,198.3755,967.0,183.0038,1.4552483655223614,DLH3A_603,74675.22119008159,0.08199739954441444
73624.70116953301,20.3325,-75363.80891328053,56424.795152920866,130.33454683094138,52.30268138970895,4.778823685155061,428.0,0.393244,259.7397,1170.0,183.0038,1.4029996518555696,DLH3A_603,71351.53729170674,0.07883571776311982
73596.19151400485,40.6651,-75505.93847929273,53716.20165701541,251.1904119609945,52.278306333478454,4.777342772547784,824.0,0.488759,322.3869,1373.0,152.505,1.4896592583547748,DLH3A_603,76986.02892094979,0.07493283801847628
73565.9627421369,60.9976,-73951.74174926465,50729.9869885751,393.04759569389637,52.25166531333039,4.8008418696593935,1290.0,0.579147,381.3916,1577.0,147.8087,1.6234170169843711,DLH3A_603,87310.71413760795,0.0704905793062905
73533.04921470155,81.3301,-71830.1753872495,47359.85630694557,555.906098029693,52.22164163971786,4.832723274597646,1824.0,0.660466,434.1365,1780.0,145.4265,1.7387361114165545,DLH3A_603,99445.98076721173,0.06335364629858276
73497.79565388605,101.6626,-69258.117078968,43627.76003826016,739.7659189683766,52.188411237106344,4.871243890053757,2427.0,0.73107,479.5355,1983.0,142.2745,1.8130208610257537,DLH3A_603,111566.38218723,0.05584385228874554
73461.01620284509,121.9952,-66195.15162534546,39668.388483079114,944.627058509902,52.153183608878955,4.916946471947836,3099.0,0.790807,517.499,2187.0,138.755,1.8524684828489069,DLH3A_603,122574.13806731411,0.05031211804614141
73423.41271722247,142.3277,-62634.2136702687,35607.20463256253,1170.4895166541767,52.11707940758697,4.969888148780568,3840.0,0.82,535.2042,2390.0,135.7358,1.8649198999648744,DLH3A_603,128549.84250133243,0.04710465374610872
73385.52879306681,162.6602,-58736.23575973574,31607.8014491454,1417.3532934010261,52.0815429151957,5.0276651385999696,4650.0,0.82,533.6714,2593.0,132.6841,1.8651760401444197,DLH3A_603,128695.69759072977,0.04584084760300896
73347.64146988613,182.9928,-54643.899843501335,27833.599894313043,1685.218388750103,52.048022511721015,5.0881556895237745,5529.0,0.82,532.0032,2797.0,129.8323,1.8652274482804674,DLH3A_603,128733.24947735091,0.04489035074138614
73309.75520885878,203.3253,-50383.621151423766,24280.000329768172,1974.0848027005018,52.016470221800255,5.150976688456829,6477.0,0.82,530.1984,3000.0,128.0956,1.865063651824788,DLH3A_603,128656.52020652086,0.04367657579710707
73271.87364124313,223.6578,-46033.94125468453,20869.949590251064,2283.952535243685,51.98618284667868,5.214995088352976,7493.0,0.82,528.2554,3000.0,127.8761,1.85918470672855,DLH3A_603,125790.56330889414,0.03725824122472934
73234.11606326663,243.9903,-41687.32106680221,17489.11356800752,2593.8202677876952,51.95612326238238,5.278878647004454,8510.0,0.82,526.3053,3000.0,127.5005,1.8524568454955879,DLH3A_603,123030.74654651401,0.029954880840565516
73196.49911567377,264.3229,-37334.870455021206,14149.303545679026,2903.6880003317456,51.92639844801018,5.3427570526156725,9527.0,0.82,524.3479,3000.0,127.2666,1.8448814055681935,DLH3A_603,120377.58221856767,0.02536531820119869
73159.03930231932,284.6554,-32985.17145733377,10839.730458906728,3213.5557328757914,51.89691082247505,5.406507797735168,10543.0,0.82,522.3832,3000.0,126.3973,1.8364795362762614,DLH3A_603,117831.36869265093,0.023527638449360695
73121.75265351553,304.9879,-28602.36204380451,7608.765411604188,3523.4234654197826,51.86809738703706,5.470650499618944,11560.0,0.82,520.4111,3000.0,125.8732,1.8272671055078362,DLH3A_603,115386.47670753326,0.022674430913003273
73084.65440682857,325.3205,-24206.95432558432,4430.1583866232695,3833.2911979637,51.83972048901696,5.534890663464434,12576.0,0.82,518.4315,3000.0,125.8284,1.8173044534704113,DLH3A_603,113045.2311238179,0.022497620156672934
73047.75871433024,345.653,-19825.91479521657,1267.146778942634,4143.158930507523,51.81144834615897,5.598839914634333,13593.0,0.82,516.4443,3000.0,124.7814,1.8066332819972037,DLH3A_603,110802.51237714774,0.022688085771567394
73011.0783827598,365.9855,-15404.941660013546,-1803.3816015838022,4453.026663051229,51.78397434832633,5.66328528705203,14610.0,0.82,514.4494,3000.0,123.5501,1.7953318289825444,DLH3A_603,108658.85992839481,0.022540654076833106
72974.62465060277,386.318,-10936.463083776564,-4766.630738135033,4762.894395594832,51.757430844043775,5.728338925447146,15626.0,0.82,512.4468,3000.0,122.2093,1.7834903951551695,DLH3A_603,106614.60491595195,0.021635187785419913
72938.40700388826,406.6506,-6417.653611775352,-7613.296411367431,5072.762128138347,51.73190049087807,5.794044728582244,16643.0,0.82,510.4363,3000.0,121.3201,1.7711764913758574,DLH3A_603,104665.39115879907,0.019935197131322437
72902.43303063487,426.9831,-1873.241913598486,-10378.52065538931,5382.629860681789,51.70706604214636,5.8600474017468445,17660.0,0.82,508.4178,3000.0,121.0929,1.7584934987212522,DLH3A_603,102811.82461532495,0.01865014368716653
72866.70831237332,447.3156,2663.9495502299324,-13114.765301096071,5692.49759322514,51.68245517998574,5.925872056112324,18676.0,0.82,506.3913,3000.0,120.9017,1.7455503011060736,DLH3A_603,101054.32604214473,0.017599604485238843
72831.23635004343,467.6481,7191.992378392714,-15824.925381583738,6002.365325768391,51.65804216465825,5.99149381276605,19693.0,0.82,504.3567,3000.0,120.6943,1.7324245177577622,DLH3A_603,99389.38730391426,0.016744258342036702
72796.01852077807,487.9807,11711.447253618757,-18507.771921837455,6312.233058311162,51.63383840870515,6.056921303088094,20709.0,0.82,502.3138,3000.0,120.6529,1.719239281496882,DLH3A_603,97818.89292720996,0.0018965015046164477
72761.05406161014,508.3132,16214.385284558166,-21176.42054381869,6622.10079085278,51.60972646338118,6.122040388853526,21726.0,0.82,500.2626,3000.0,120.6478,1.7060720109117016,DLH3A_603,96339.94552255898,0.0
72726.34007591772,528.6457,20699.033149208768,-23833.68763580201,6931.9685233939945,51.585681530213776,6.186826199849936,22743.0,0.82,498.2029,3000.0,120.6567,1.6930327652719304,DLH3A_603,94953.41225727665,0.0
72691.87155841202,548.9783,25164.665079765175,-26480.62262915238,7241.836255934848,51.56169470859126,6.251269052830911,23759.0,0.82,496.1347,2818.0,120.6588,1.654360130957679,DLH3A_603,91093.38103617824,0.0
72658.15486085103,569.3108,29613.016985166953,-29117.539516222143,7532.923812449403,51.53776360182109,6.3153948834816305,24714.0,0.82,494.1839,2615.0,120.6607,1.609118369471962,DLH3A_603,87077.13253689936,0.0
72625.31831006828,589.6433,34045.284475445704,-31745.11454196656,7803.010050367211,51.513882530300044,6.37922171186261,25600.0,0.82,492.367,2412.0,120.6716,1.5604277805242353,DLH3A_603,83194.37794459244,0.0
72593.42778338773,609.9758,38462.20089192645,-34364.72442571394,8052.094969685336,51.490039506460995,6.442760730940866,26418.0,0.818407,489.7322,2208.0,120.6997,1.5077433757223058,DLH3A_603,79281.27817221648,0.0
72562.58142346903,630.3084,42855.57460015508,-36973.286460470255,8280.178570402852,51.4662633006047,6.505894750098805,27166.0,0.815061,486.1942,2005.0,120.729,1.4516361498625079,DLH3A_603,75355.73591955454,0.0
72532.88106948734,650.6409,47217.184526041994,-39566.01225546001,8487.26085251936,51.44259827375466,6.56850678242112,27845.0,0.811909,482.9208,1802.0,120.7571,1.3929584693464174,DLH3A_603,71553.7992791516,0.0
72504.37858015983,670.9734,51549.41987321853,-42144.15297600034,8673.341816034686,51.419033748731586,6.630632434988387,28456.0,0.808836,479.8429,1598.0,120.791,1.3316784820448628,DLH3A_603,67834.91010687049,0.0
72477.12270042424,691.306,55853.72867762299,-44709.119905498854,8838.42146094881,51.3955576219042,6.69229358346141,28997.0,0.805847,476.9616,1395.0,120.8158,1.2685887475368527,DLH3A_603,64215.870320433685,0.0
72451.1565388269,711.6385,60132.23182010074,-47261.21496716288,8982.499787261824,51.372167643819736,6.7535218664451255,29470.0,0.802813,474.2006,1192.0,120.8254,1.2036224752111004,DLH3A_603,60661.63115412512,0.0
72426.52066464865,731.971,64386.62063354634,-49799.90097315183,9105.576794973986,51.34886909005332,6.814342806706986,29874.0,0.799722,471.5514,988.0,120.8333,1.1367387680173717,DLH3A_603,57148.158159443694,0.0
72403.25052626725,752.3035,68617.91289662375,-52325.58701421368,9207.652484085798,51.32565875286758,6.874772019489271,30209.0,0.796521,468.9834,785.0,120.8296,1.0687250767212144,DLH3A_603,53694.69088184459,0.0
72381.37724058583,772.6361,72827.2697252642,-54837.81797677326,9288.726854598388,51.302541142215546,6.93482730401477,30475.0,0.793107,466.4338,582.0,120.8349,0.9994638594610197,DLH3A_603,50274.66442932512,0.0
72360.92875828913,792.9686,77014.39115455563,-57337.29858565885,9348.799906515267,51.279510498959034,6.994505184923502,30672.0,0.789693,464.0276,378.0,120.8401,0.9290006752908582,DLH3A_603,46879.537570698565,0.0
74405.63038379485,0.0,94182.3112448977,-43884.90834505249,30.48000030369937,52.304599762878865,4.77752017830641,100.0,0.3,198.3755,725.0,237.9631,1.3266660072041216,EIN60Y_1710,66814.67345475407,0.07953456849477107
74376.7543558512,21.7515,92302.63781788836,-45061.142011654585,110.57733991346642,52.294345200858054,4.749554760546139,363.0,0.405431,267.8495,942.0,237.9631,1.3040632352951187,EIN60Y_1710,65530.59787716485,0.07552728819979766
74348.40947229385,43.5031,89764.90269342285,-46649.16759494132,214.7096358614705,52.28049002419136,4.711819455608117,704.0,0.511647,337.6231,1160.0,270.5904,1.4503827039714952,EIN60Y_1710,74356.83747965505,0.07048931536161199
74316.93825721176,65.2546,85992.03835982653,-46610.28792176859,342.87688814786196,52.28144709539276,4.65637851821013,1125.0,0.609826,401.8243,1377.0,295.0786,1.6285415215095789,EIN60Y_1710,87765.03663906862,0.06559181833031795
74281.62084807479,87.0061,81925.3944805278,-44707.18059416057,495.0790967726781,52.299184910103975,4.597073997796761,1624.0,0.695832,457.701,1595.0,296.8543,1.7607906163708138,EIN60Y_1710,102467.4728891162,0.05969188271227092
74243.42603521037,108.7576,77363.37531532528,-42397.311258001435,671.3162617359224,52.32062105446819,4.530529351725555,2202.0,0.768372,504.3992,1812.0,298.2822,1.8331056627721483,EIN60Y_1710,116391.31199363682,0.048078898983102115
74203.63211847462,130.5092,72401.78662034575,-39727.764509590044,871.5883830375778,52.345307242368264,4.458117324675091,2860.0,0.82,537.0543,2030.0,299.0366,1.8625430527072508,EIN60Y_1710,127325.77976915363,0.033257762347585026
74163.15566825787,152.2607,67157.97598772483,-36816.689866567205,1095.8954606776047,52.37215587069933,4.381516626346549,3595.0,0.82,535.6665,2247.0,298.2617,1.8635169764972863,EIN60Y_1710,127821.93282989002,0.018921981283587217
74122.6605709877,174.0122,61890.550398270985,-33985.009415863766,1344.2374946559337,52.39824366745849,4.30446001443771,4410.0,0.82,534.1259,2465.0,297.5964,1.864146479883581,EIN60Y_1710,128154.82774329661,0.012932835568918631
74082.15447752431,195.7638,56607.581226477916,-31223.562822114087,1616.614484972445,52.42365134457257,4.227071129076755,5304.0,0.82,532.431,2683.0,297.6617,1.8644742507879726,EIN60Y_1710,128336.50136464319,0.009607022296882529
74041.64365923413,217.5153,51346.365088435436,-28465.84543879238,1913.0264316268951,52.44897284659648,4.149913462092385,6276.0,0.82,530.5804,2900.0,297.5939,1.8645347195518676,EIN60Y_1710,128380.1732291401,0.007988256020610984
74001.13315761692,239.2668,46102.14837660978,-25724.94591891039,2233.473334618553,52.47409139650762,4.072915742985928,7328.0,0.82,528.5724,3000.0,297.5479,1.8612332250666017,EIN60Y_1710,126742.28541749122,0.0068090169053161235
73960.69805107023,261.0183,40876.604831398436,-22999.145520032318,2564.966624061547,52.49902270566419,3.9961041302597256,8415.0,0.82,526.4872,3000.0,297.4828,1.854373341375773,EIN60Y_1710,123782.98393868425,0.005842343397110297
