mass,ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuelflow,fid,thrust,cost_grid
73861.0703649299,0.0,-75072.6758271948,55078.75718751414,30.480000303204676,52.321296883131474,4.7799559429025384,100.0,0.3,198.3755,1145.0,183.0038,1.549391856947561,AUA3NA_1248,81286.9456702967,0.06751045655989711
73830.27308643234,19.8605,-75178.64296086774,53059.318888566006,146.0259593610228,52.30312367177365,4.778849792752686,479.0,0.385616,254.6565,1344.0,183.0038,1.4853975784167057,AUA3NA_1248,76693.90735001088,0.06163155698255991
73800.78575661563,39.721,-75314.69454338524,50466.55482252721,281.60946534231283,52.27979100763934,4.777430821493616,924.0,0.474374,312.7905,1542.0,153.213,1.5362067848644654,AUA3NA_1248,80301.43633490897,0.05208156401371322
73770.32675850949,59.5815,-73877.39739070112,47619.587165035206,437.23051824732136,52.254385932963956,4.799181469768794,1434.0,0.559643,368.3623,1741.0,136.6261,1.6377254582437244,AUA3NA_1248,88593.90100027499,0.04222418895959304
73737.88519551327,79.442,-71298.1192252881,44889.58993305142,612.8891180760977,52.23017763210465,4.837647766708459,2011.0,0.637599,418.8327,1940.0,125.0633,1.7352005486658584,AUA3NA_1248,98991.60100687403,0.03172615272067698
73703.51881225024,99.3025,-67803.0472044375,42436.55859078024,808.5852648286271,52.208560755532666,4.889454323806581,2653.0,0.706425,463.0042,2138.0,114.7418,1.8041941050124326,AUA3NA_1248,109753.35655111402,0.02496534114326576
73667.77175697125,119.1631,-63516.523693263596,40461.188132791525,1024.3189585048458,52.19130821398577,4.952729140320055,3361.0,0.765671,500.59,2337.0,115.0662,1.844628748311704,AUA3NA_1248,119811.04428583296,0.023349269446807538
73631.20399803166,139.0236,-58894.86405552928,38299.57254319123,1260.0901991046321,52.17238296313789,5.020901529894996,4134.0,0.815761,531.8848,2535.0,117.3047,1.8656306114446009,AUA3NA_1248,128806.05262798085,0.023691987289420815
73594.18986487939,158.8841,-54078.55320121925,35813.19210021217,1515.8989866277623,52.1505171185438,5.0919207877715085,4973.0,0.82,533.0583,2734.0,119.3912,1.8669914072233051,AUA3NA_1248,129712.2991818352,0.023907599285475867
73557.1445087983,178.7446,-49346.96954244887,33148.03783191483,1791.7453210737574,52.126993472052504,5.161655178822668,5878.0,0.82,531.3383,2933.0,121.9851,1.866872179651556,AUA3NA_1248,129654.32257712354,0.024182648968832363
73520.1032049753,198.6051,-44757.236459366366,30281.709692177323,2087.6292024411755,52.101608175383035,5.229265705450294,6849.0,0.82,529.4872,3000.0,126.018,1.8633046942563687,AUA3NA_1248,127746.47316466598,0.021864626220449806
73483.13574840793,218.4656,-40396.282367288004,27111.191669366628,2390.30336442802,52.07343205872902,5.293487994999186,7842.0,0.82,527.5869,3000.0,127.4807,1.8573271114625207,AUA3NA_1248,124985.06583840141,0.01851450148719829
73446.29081874536,238.3261,-36133.13721893133,23842.245985766393,2692.9775264148966,52.04432954891768,5.356209532685924,8835.0,0.82,525.6797,3000.0,127.8335,1.8505471307983912,AUA3NA_1248,122326.51368397207,0.015140430800289168
73409.58380842363,258.1866,-31905.645292618563,20559.102402493358,2995.6516884017783,52.01506404023955,5.418329743220076,9828.0,0.82,523.7656,3000.0,127.2419,1.8429667965406775,AUA3NA_1248,119769.21751822928,0.013692520208961051
73373.02989267244,278.0471,-27660.098756316424,17331.663518639918,3298.325850388616,51.98626774866208,5.480627807018634,10821.0,0.82,521.8445,3000.0,126.7681,1.8346032389662643,AUA3NA_1248,117311.62440517006,0.012870426587993495
73336.64373514945,297.9076,-23403.78554892342,14151.233922596322,3601.0000123753925,51.95786183659155,5.542999656174333,11814.0,0.82,519.9162,3000.0,126.3673,1.825487939666464,AUA3NA_1248,114952.2353385371,0.01235651257266008
73300.43921094641,317.7681,-19141.247734302353,11012.37850462647,3903.6741743620914,51.92979710192621,5.605380917531274,12807.0,0.82,517.9808,3000.0,125.9781,1.8156658725709145,AUA3NA_1248,112689.69965472266,0.01212907712166776
73264.42915400487,337.6287,-14873.54971535193,7914.201132972575,4206.348336348691,51.90206539262321,5.667757597261205,13800.0,0.82,516.0381,3000.0,125.8011,1.8051936897774512,AUA3NA_1248,110522.67977123837,0.012219788751585636
73228.62513388698,357.4892,-10612.453765805509,4840.877492789116,4509.022498335165,51.874524131149215,5.7299603194423785,14793.0,0.82,514.0881,3000.0,125.971,1.7941384266868499,AUA3NA_1248,108449.96832382267,0.012509461994204682
73193.03726486613,377.3497,-6376.670622311802,1766.6775055558444,4811.696660321504,51.84694193329408,5.791718361626384,15786.0,0.82,512.1306,3000.0,125.869,1.7825754943976762,AUA3NA_1248,106470.40737008839,0.012420686885946356
73157.67404853945,397.2102,-2151.6883227478334,-1288.2196304266326,5114.370822307739,51.81950098212738,5.853243470907124,16779.0,0.82,510.1657,3000.0,124.9599,1.7705872931514866,AUA3NA_1248,104582.99323461702,0.011470042956745023
73122.54224967456,417.0707,2104.7172165131255,-4264.15501333586,5417.044984293888,51.79273792618051,5.915150768918866,17772.0,0.82,508.1931,3000.0,124.1583,1.7582609973585535,AUA3NA_1248,102786.7473482147,0.010640605031512216
73087.64680381429,436.9312,6385.602713270367,-7168.893639996105,5719.719146279946,51.76658233374891,5.977341732001354,18765.0,0.82,506.2129,3000.0,123.6882,1.7456875363061024,AUA3NA_1248,101080.87249752232,0.009800026138029215
73052.9907542706,456.7917,10673.284248637685,-10027.14167296723,6022.393308265915,51.740811928319474,6.039560748721741,19759.0,0.82,504.2249,3000.0,123.4587,1.7329483037603184,AUA3NA_1248,99463.40073331451,0.008507125629351806
73018.57521552313,476.6522,14955.370346003225,-12856.954581350188,6325.0674702515325,51.71526457319615,6.101628788351185,20752.0,0.82,502.229,3000.0,123.4775,1.7201593171827352,AUA3NA_1248,97936.27837037182,0.0006823455403824744
72984.39935966175,496.5127,19219.454982153202,-15676.88230502103,6627.741632236698,51.689774066070505,6.163366091716193,21745.0,0.82,500.2251,3000.0,123.5069,1.7074024314821343,AUA3NA_1248,96497.73461029866,0.0
72950.46042234439,516.3732,23464.95582439037,-18487.654529197098,6930.415794221671,51.6643343452621,6.2247650272574315,22738.0,0.82,498.2132,3000.0,123.5343,1.6947693033030102,AUA3NA_1248,95147.46512317588,0.0
72916.75372473933,536.2337,27691.912202308333,-21289.058723593655,7233.089956206439,51.63894780606273,6.285827026752715,23731.0,0.82,496.1932,3000.0,123.5596,1.6823493134474579,AUA3NA_1248,93885.30493188574,0.0
72883.27270804081,556.0943,31900.36799202394,-24080.87414883052,7535.764118190991,51.61361691264091,6.346553594017159,24724.0,0.82,494.1648,3000.0,123.5846,1.6702289242238855,AUA3NA_1248,92711.23214753694,0.0
