mass,ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuelflow,fid,thrust,cost_grid
73114.99894609311,0.0,-75072.67582490278,55078.75718751424,30.480000303140827,52.32129688313178,4.779955942936257,100.0,0.3,198.3755,1149.0,183.0038,1.5387829873276138,AUA3NA_1248,80492.24068140364,0.06751045656480247
73084.42818378701,19.8549,-75178.61188353537,53059.91109231636,146.32459547119467,52.30312900110071,4.778850117044832,480.0,0.387119,255.6483,1347.0,183.0038,1.4750629719784805,AUA3NA_1248,75992.6954437553,0.061630973440109135
73055.15422139356,39.7098,-75315.1551222295,50457.77742960043,282.1954280945679,52.279712018568496,4.777426020149159,926.0,0.477312,314.7254,1546.0,153.2214,1.5308314242135201,AUA3NA_1248,79905.96387481398,0.05204923465708318
73024.81818622207,59.5647,-73869.78372749273,47593.77184577991,438.09249817351144,52.25415482293796,4.799298978286731,1437.0,0.563755,371.0652,1744.0,137.2226,1.6365818793296514,AUA3NA_1248,88489.63351085986,0.04212866153239297
72992.41064411226,79.4196,-71301.05046304081,44817.596326453866,614.0158057080739,52.22952987906659,4.837619972938495,2014.0,0.642561,422.0867,1943.0,124.8706,1.7365863370587324,AUA3NA_1248,99168.8086945794,0.03153740010838871
72958.02817791294,99.2745,-67771.48823658854,42358.03128698548,809.9653506982368,52.207858502982006,4.889933215391912,2657.0,0.71192,466.5982,2141.0,112.5075,1.8061644237511896,AUA3NA_1248,110145.19482586098,0.024817522425505344
72922.252612239,119.1294,-63378.55587538081,40537.74508349604,1025.94113314393,52.19201251445557,4.954738598386027,3366.0,0.771428,504.3444,2340.0,111.8416,1.8462318139247644,AUA3NA_1248,120340.9984914212,0.023344475072546375
72885.66287728799,138.9843,-58608.39679304983,38625.794429170324,1261.943153045019,52.175347008199275,5.025045355913615,4140.0,0.82,534.6369,2538.0,114.389,1.8662172293036905,AUA3NA_1248,129257.04056961763,0.023588891656619926
72848.64273524085,158.8392,-53647.66920786586,36376.656263637415,1517.9714104012558,52.155626162601884,5.098146361140653,4980.0,0.82,533.0454,2737.0,116.8868,1.8662256771655286,AUA3NA_1248,129270.5097417265,0.023733018157836145
72811.62444706335,178.6941,-48805.649387050966,33921.56643823353,1794.025905212118,52.13399767562967,5.169473069431729,5886.0,0.82,531.3241,2935.0,120.5417,1.8660202025118895,AUA3NA_1248,129166.19022212914,0.023949520354917455
72774.61159210105,198.549,-44146.62873079,31172.625879765823,2090.106637476058,52.109669106266914,5.238089024151639,6857.0,0.82,529.4717,3000.0,125.0969,1.862261127026778,AUA3NA_1248,127218.43102707068,0.02129647763854483
72737.67699033608,218.4039,-39736.64156426731,28073.589747056034,2392.695370668785,52.082134564189055,5.303026522344356,7850.0,0.82,527.5719,3000.0,127.754,1.8560809685847364,AUA3NA_1248,124452.77028051243,0.018454071513018134
72700.86903992714,238.2588,-35490.456574565,24785.366881492424,2695.2841038615393,52.0528525599456,5.3655080638225385,8843.0,0.82,525.6652,3000.0,127.9957,1.8490796076101945,AUA3NA_1248,121789.73809946852,0.015054472581083899
72664.20348875453,258.1137,-31273.577734869188,21491.294285809538,2997.8728370543013,52.02348329005821,5.427479939698868,9836.0,0.82,523.7515,3000.0,127.4366,1.8412602236702016,AUA3NA_1248,119227.70009488858,0.013769746887380226
72627.69584289972,277.9686,-27040.333387909082,18250.44430614088,3300.4615702470173,51.99456097534674,5.489605230895739,10828.0,0.82,521.8309,3000.0,127.0876,1.8326492111023347,AUA3NA_1248,116767.08886361783,0.01291819524343705
72591.36106858654,297.8236,-22803.131314501756,15047.309938346503,3603.0503034396684,51.96594535757585,5.551705507513633,11821.0,0.82,519.9031,3000.0,126.7956,1.823264815971651,AUA3NA_1248,114402.39223527521,0.012398113880863253
72555.21331272791,317.6785,-18565.48168425561,11877.647223896982,3905.639036632234,51.93759814227315,5.6137311967070636,12814.0,0.82,517.9682,3000.0,126.4844,1.8131607410803656,AUA3NA_1248,112134.27497308675,0.012162540700873371
72519.26564903827,337.5334,-14326.622790896297,8742.843186967419,4208.227769824693,51.909531890813746,5.67569467504325,13807.0,0.82,516.026,3000.0,126.3682,1.802395383166109,AUA3NA_1248,109961.38456525764,0.012230152068165249
72483.52985453475,357.3883,-10097.446181454741,5628.445770431294,4510.8165030170185,51.881616484063215,5.737439044373064,14799.0,0.82,514.0765,3000.0,126.5765,1.7910476053349056,AUA3NA_1248,107884.12453059359,0.012502086563681012
72448.01621924364,377.2432,-5895.6672957263145,2510.6027235974857,4813.405236209196,51.853637521205634,5.7987078833844174,15792.0,0.82,512.1196,3000.0,126.8285,1.7791748895212562,AUA3NA_1248,105898.0059944478,0.012397165059049966
72412.73339015205,397.0981,-1723.6994862923978,-613.6669056953218,5115.993969401259,51.82556887835512,5.85946680372537,16785.0,0.82,510.1551,3000.0,125.8344,1.7668706033132622,AUA3NA_1248,104003.65438650138,0.011549842146255589
72377.68824895551,416.953,2485.5171417036886,-3653.297899227025,5418.582702593235,51.79822992234155,5.920692096346573,17778.0,0.82,508.1831,3000.0,124.9171,1.7542237427206309,AUA3NA_1248,102200.14491640024,0.010708425897217025
72342.88582197034,436.8079,6726.280810038288,-6613.579950126716,5721.171435785117,51.77157237748806,5.982303215909059,18770.0,0.82,506.2034,3000.0,124.3949,1.7413378554393577,AUA3NA_1248,100487.91926329059,0.009832212114882624
72308.3292196997,456.6628,10977.10222154906,-9523.62269634198,6023.760168976915,51.745334276151105,6.043989230078056,19763.0,0.82,504.2159,3000.0,124.1095,1.72828427614119,AUA3NA_1248,98863.52324524883,0.00848983183624481
72274.01960294256,476.5177,15225.495962421111,-12401.029039125986,6326.348902168317,51.719357488111335,6.105569776537714,20756.0,0.82,502.2205,3000.0,124.0579,1.7151688175784212,AUA3NA_1248,97327.72842539861,0.000650714052787668
72239.95617197637,496.3726,19459.529924259303,-15263.153819859659,6628.93763535921,51.69348647440199,6.166872085290069,21748.0,0.82,500.2172,3000.0,124.0499,1.7020972220995518,AUA3NA_1248,95881.14350959662,0.0
72206.13617519186,516.2275,23676.946586376074,-18113.186065692884,6931.526368549889,51.66769304154097,6.227864180642386,22741.0,0.82,498.2058,3000.0,124.0412,1.6891385000358028,AUA3NA_1248,94521.14974504171,0.0
72172.55493357427,536.0824,27877.709696665952,-20951.030614333675,7234.115101740345,51.64197848564589,6.288546455973712,23734.0,0.82,496.1863,3000.0,124.035,1.6763945141381036,AUA3NA_1248,93248.72346721061,0.0
72139.20587755452,555.9373,32061.620892084917,-23776.830470432087,7536.703834930575,51.61634196821575,6.348916935815728,24727.0,0.82,494.1585,3000.0,124.0337,1.6639524066809646,AUA3NA_1248,92063.8143422207,0.0
72106.08059299111,575.7922,36228.36459263991,-26590.900479516786,7839.292568120569,51.59078111575308,6.408971925111415,25719.0,0.82,492.1224,3000.0,124.0274,1.6519069177714296,AUA3NA_1248,90967.35341220649,0.0
72073.16887333496,595.6471,40378.113886121384,-29392.83004467096,8141.881301310323,51.56530004960447,6.4687148730601045,26712.0,0.82,490.0778,3000.0,124.0294,1.6403158275951204,AUA3NA_1248,89958.04174941288,0.0
72040.45877536744,615.502,44510.388055833566,-32183.174847497685,8444.470034499833,51.53989424505291,6.528139661523935,27705.0,0.82,488.0246,3000.0,124.0239,1.6292663974488286,AUA3NA_1248,89037.29251637221,0.0
72007.93667626473,635.3569,48625.48006221676,-34961.34280467379,8747.058767689095,51.5145694429257,6.587251497014116,28698.0,0.82,485.9628,3000.0,124.025,1.6188305812577906,AUA3NA_1248,88205.91769484844,0.0
71975.58733012149,655.2118,52722.99949830547,-37727.75192478852,9049.647500878125,51.48932235288276,6.646045577742923,29690.0,0.82,483.8922,3000.0,124.0219,1.6090852883038214,AUA3NA_1248,87465.41525108615,0.0
71943.39392245792,675.0667,56803.066594179974,-40482.06182386673,9352.236234065731,51.46415646110229,6.704524584080602,30683.0,0.819858,481.7293,3000.0,124.0202,1.6000847243013836,AUA3NA_1248,86807.40311574774,0.0
71911.34010780718,694.9216,60864.83561030261,-43223.840712075624,9654.824967253175,51.4390761734304,6.7626772838638205,31676.0,0.817035,477.9897,3000.0,124.0197,1.5922598403429866,AUA3NA_1248,86093.82397303625,0.0
71879.44048380172,714.7765,64894.89902411829,-45944.17011199808,9957.413700440506,51.41416367956333,6.820312934965928,32669.0,0.812815,473.4411,3000.0,124.0167,1.5859667126036872,AUA3NA_1248,85446.92554878477,0.0
71847.68153967804,734.6314,68886.53025536223,-48638.24956547644,10260.00243362786,51.38946369197851,6.877337083160026,33661.0,0.807095,468.0358,3000.0,124.0173,1.5816291493515464,AUA3NA_1248,84910.92181317159,0.0
71816.03842331051,754.4863,72832.32317113453,-51301.45642591359,10562.59116681542,51.36501958853626,6.933645859027964,34654.0,0.79972,461.6951,3000.0,124.0158,1.5797302008138907,AUA3NA_1248,84540.52871305268,0.0
71784.47261245118,774.3412,76724.858283404,-53928.57020698862,10865.179900003359,51.34088031407373,6.9891357407709815,35647.0,0.792345,455.3833,3000.0,124.0144,1.5799687977080485,AUA3NA_1248,84392.91939349892,0.0
