cluster,fid,latitude,longitude,tow,altitude,runway,month
1,AUA3SV_1122,51.30084538863877,6.9617462158203125,78000.0,31500.0,36L,06
0,DLH4UX_557,51.22189279329979,6.9927978515625,78000.0,32549.999999999996,18L,03
3,EIN60R_1659,53.08772277832031,2.04315185546875,72807.63799035452,34000.0,18C,03
4,EIN611_1579,53.128905215505824,2.0040355009191178,78000.0,31850.0,36L,06
5,EIN84X_1515,51.78168345305879,2.0110321044921875,78000.0,33950.0,36L,06
10,EZY16MH_978,53.03013610839844,2.0058441162109375,64355.80284091462,31975.000000000004,24,12
9,ITY109_1534,50.68345642089844,5.780664392419763,70010.56890423795,34300.0,36L,06
8,ITY121_1784,50.50433659957627,5.88733569995777,62347.23282988412,35000.0,18L,03
2,VLG41JT_193,50.51602121126854,3.788204708614865,59277.154789315915,33425.0,18L,03
6,VLG8379_316,51.78977966308594,2.0249732764991553,75202.44457546232,33300.0,18C,03
7,VLG98RR_135,51.7730712890625,2.025492900126689,78000.0,32324.999999999996,36L,09
