cluster,fid,latitude,longitude,tow,altitude,runway,month
0,AUA3NA_1248,51.340880313162074,6.9891357421875,74607.14188375219,35975.0,18L,09
1,AUA3NA_1264,51.461700439453125,6.9775803024704395,70779.51981985364,36700.0,36L,03
3,EIN611_1587,53.032728292174255,2.018345424107143,71664.41923822444,34700.0,24,09
2,EIN611_1606,53.08854442531779,2.0184238978794644,75009.67218586864,34225.0,36L,03
4,EIN84T_1564,51.78163690082097,2.0290374755859375,63807.96045677323,36400.0,24,12
5,EIN84T_1633,51.776748915850106,2.041168212890625,78000.0,31699.999999999996,36L,09
6,EIN84X_1589,51.821345959679554,2.0189666748046875,77110.11784046075,34425.0,36L,12
7,EJU13CB_1081,50.51197814941406,5.888455039576479,60247.74847583297,36250.0,18L,12
9,EJU78CP_1097,50.50721740722656,5.880938078227795,77035.43973405717,33575.0,18L,12
10,VLG139G_110,50.49130197298729,3.75457763671875,70705.34577174504,33375.0,18L,12
8,VLG49VA_328,50.7006008342161,3.88519287109375,65944.45754955108,34225.0,36L,03
