fid,latitude,longitude,tow,altitude,runway,month
AEE519_1278,51.318145751953125,6.9801041886613175,78000.0,31100.0,18L,12
AEE6MS_1285,51.2537841796875,6.980920740076013,78000.0,30825.0,18L,03
AEE6MS_1447,51.29045104980469,6.982702306798987,76777.7134449202,30674.999999999996,18L,03
AEE6MS_1449,51.2537841796875,6.980920740076013,78000.0,30825.0,18L,03
AMC395_1867,51.074066162109375,6.991981300147804,78000.0,30925.0,18L,03
AMC395_1872,51.15308858580508,6.986846923828125,78000.0,30499.999999999996,18L,03
ASL16E_1626,51.36131674556409,6.9818115234375,78000.0,29525.000000000004,18L,12
ASL39Q_1633,51.434170997748936,6.974945068359375,75403.55356648611,36050.0,18L,12
AUA34F_1160,51.38090515136719,6.976021431587838,65080.55308405211,37275.0,18L,03
AUA34F_1183,51.40187072753906,6.982479610958615,78000.0,31200.0,18L,03
AUA34F_1184,51.332035387976696,6.98272705078125,78000.0,31474.999999999996,18L,03
AUA34F_1245,51.42008972167969,6.983444626266892,60625.35261491665,34325.0,18L,03
AUA34F_1313,51.295440673828125,6.997177536423142,78000.0,34450.0,18L,03
AUA34F_1314,51.36186218261719,6.977506070523649,67018.95406259752,32825.0,18L,03
AUA34F_1322,51.37559509277344,6.995841361380912,78000.0,31000.000000000004,18L,03
AUA34F_1333,51.422905356197035,6.9702911376953125,78000.0,32925.0,18L,03
AUA34F_1338,51.510330458818856,6.9861602783203125,75103.92098679152,33150.0,18L,03
AUA34F_1339,51.386993408203125,6.982479610958615,78000.0,33300.0,18L,03
AUA369_1061,51.23606872558594,6.977209142736487,74642.27698012757,36400.0,18L,12
AUA369_1162,51.09645080566406,6.981663059543919,68480.82826808825,33700.0,18L,03
AUA369_1164,50.98956298828125,6.988269702808277,78000.0,32525.0,18L,12
AUA369_1165,51.09645080566406,6.981663059543919,68480.82826808825,33700.0,18L,03
AUA369_1168,51.09246826171875,6.999924118454392,62681.54285385605,34650.0,18L,03
AUA372A_1129,51.363372802734375,6.973200617609797,78000.0,32850.0,18L,03
AUA372A_1133,51.51242530952065,6.9789886474609375,78000.0,30775.000000000004,18L,03
AUA372A_1142,51.351866641287074,6.9998931884765625,78000.0,32575.0,18L,12
AUA372A_1213,51.35993957519531,6.9970290725295605,78000.0,30625.0,18L,12
AUA372A_1243,51.51530456542969,6.998662175358953,78000.0,30000.0,18L,09
AUA372A_1246,51.35444641113281,6.981440363703547,64905.13413256753,35325.0,18L,03
AUA372A_1260,51.51242530952065,6.9789886474609375,78000.0,30775.000000000004,18L,03
AUA372A_1303,51.39454650878906,6.993094779349662,75814.83781030806,35250.0,18L,03
AUA372A_1307,51.41699322199417,6.9779205322265625,78000.0,32250.000000000004,18L,03
AUA372A_1369,51.43026060977224,6.9818878173828125,78000.0,31074.999999999996,18L,03
AUA380_1046,51.36346435546875,6.98871509448902,78000.0,29925.000000000004,18L,12
AUA380_1122,51.4420166015625,6.989828573690878,78000.0,30425.0,18L,03
AUA380_1192,51.38301086425781,6.97490795238598,77221.0900210859,33050.0,18L,03
AUA380_1205,51.50739766783633,6.9891357421875,78000.0,32525.0,18L,06
AUA380_1248,51.41230773925781,6.9805495803420605,78000.0,34050.0,18L,03
AUA380_1318,51.366851806640625,6.99970142261402,67819.80904336557,34425.0,18L,03
AUA380_1320,51.41180419921875,6.9940597946579395,78000.0,34075.0,18L,03
AUA380_1325,51.343048095703125,6.995024809966217,74720.07028719137,32825.0,18L,03
AUA380_1342,51.30168332891949,6.98760986328125,78000.0,30800.0,18L,03
AUA380_1371,51.36419677734375,6.99272361961571,69536.85820154828,33925.0,18L,03
AUA3NA_1038,51.44390041545286,6.988525390625,78000.0,31175.000000000004,18L,06
AUA3NA_1045,51.47388005660752,6.9850921630859375,78000.0,32125.0,18L,06
AUA3NA_1073,51.373443603515625,6.9832961623733105,71311.00505300963,36600.0,18L,12
AUA3NA_1109,51.37514276019597,6.977081298828125,76653.07839199604,33400.0,18L,06
AUA3NA_1152,51.41573631157309,6.99066162109375,74271.6099586373,33950.0,18L,09
AUA3NA_1158,51.4053086103019,6.9808197021484375,78000.0,31474.999999999996,18L,06
AUA3NA_1167,51.37523586467161,6.998291015625,78000.0,31000.000000000004,18L,12
