fid,latitude,longitude,tow,altitude,runway
EIN605P_1389,53.10905456542969,2.177254813058036,72111.11634055612,33050.0,24
EIN605P_1421,53.01219875529661,2.0396902901785716,66217.03671851606,36325.0,24
EIN605P_1422,53.02803039550781,2.004852294921875,70413.64172215984,35350.0,24
EIN605P_1435,53.00701904296875,2.04315185546875,66159.87578907443,31725.0,24
EIN605P_1436,52.98971402443061,2.007359095982143,71951.68502935464,33725.0,24
EIN605P_1459,53.11596369339247,2.0749619427849266,61366.57890267749,36000.0,24
EIN605P_1463,53.167236328125,2.0123814174107144,58809.654435411154,36000.0,24
EIN605P_1482,53.16293490135063,2.046526740579044,71574.6282190323,33850.0,24
EIN605P_1501,53.163848876953125,2.0403965541294644,62189.278279048514,35750.0,24
EIN605P_1521,52.998046875,2.0151279994419644,58905.09832943667,36000.0,24
EIN605P_1565,53.10572220107256,2.0253619025735294,63723.74784291569,34000.0,24
EIN605P_1588,53.026611328125,2.0317840576171875,78000.0,31474.999999999996,24
EIN605P_1592,53.0846340373411,2.134565080915179,70477.61916831898,33625.0,24
EIN605P_1595,53.12420654296875,2.0314505440848216,78000.0,31675.0,24
EIN605P_1612,53.026611328125,2.0317840576171875,78000.0,31474.999999999996,24
EIN605P_1644,53.12992936473781,2.0239078297334556,66640.14828684423,34475.0,24
EIN605P_1688,53.034027099609375,2.022705078125,78000.0,32374.999999999996,24
EIN605P_1689,52.986269158832094,2.0162266322544644,67787.94063927914,34025.0,24
EIN605P_1708,53.12406378277277,2.010659610523897,51766.71476896242,36000.0,24
EIN605P_1718,53.02821272510593,2.011753627232143,70970.31651261626,33600.0,24
EIN605P_1741,53.103515625,2.072178431919643,78000.0,32675.0,24
EIN605P_1794,53.167078050516416,2.0925723805147056,71875.03549188841,33100.0,24
EIN60R_1441,53.1654052734375,2.0270560128348216,63481.681617915,36000.0,24
EIN60R_1452,53.0783494852357,2.026585170200893,54796.87486526856,36000.0,24
EIN60R_1466,53.2012939453125,2.1399913114659928,61320.13298878589,33925.0,24
EIN60R_1484,52.98119496490995,2.021955217633929,63896.51691892953,36000.0,24
EIN60R_1497,53.1497606180482,2.0773853975183822,74798.51976555628,33300.0,24
EIN60R_1515,53.18778991699219,2.0633108956473216,70575.72253680561,34650.0,24
EIN60R_1523,53.09813418630826,2.005166446461397,56678.72415563878,36000.0,24
EIN60Y_1443,53.0618699930482,2.024074009486607,51378.73406573493,34000.0,24
EIN60Y_1455,53.22651672363281,2.048871721540179,59939.20923579981,35625.0,24
EIN60Y_1467,53.03828430175781,2.003173828125,53745.80080406485,36025.0,24
EIN60Y_1471,53.1397705078125,2.0166190011160716,69751.4031009641,35050.0,24
EIN60Y_1472,53.016815185546875,2.0255279541015625,62130.18347958382,36000.0,24
EIN60Y_1481,53.06941223144531,2.0114898681640625,69181.05184715905,34350.0,24
EIN60Y_1483,53.19961806475106,2.0409527946920956,54074.52798950604,36000.0,24
EIN60Y_1493,53.32640075683594,2.151044573102679,56614.98390714746,36000.0,24
EIN60Y_1494,52.98761917372881,2.010890415736607,55995.58144083593,36000.0,24
EIN60Y_1498,53.15646414029396,2.1396681841681984,74656.237299135,33625.0,24
EIN60Y_1511,53.15629577636719,2.107334681919643,59407.68735098057,34025.0,24
EIN60Y_1512,53.00205036745233,2.008457728794643,56091.76878507643,35175.0,24
EIN60Y_1518,53.14287088685116,2.086029052734375,63001.84363956806,35000.0,24
EIN60Y_1523,53.13926696777344,2.1275809151785716,69167.2641934572,33250.0,24
EIN60Y_1524,53.04134045617055,2.003121512276786,56075.56018370673,36000.0,24
EIN60Y_1528,53.12132263183594,2.0272129603794644,63152.2037177932,36875.0,24
EIN60Y_1539,53.13121032714844,2.050362723214286,57434.686745071966,36000.0,24
EIN60Y_1620,53.03426451602224,2.010341099330357,68946.37204426574,33975.0,24
EIN60Y_1625,53.124481201171875,2.0552280970982144,70549.2596880757,34550.0,24
EIN60Y_1651,53.047576904296875,2.07183837890625,63749.41045781965,34000.0,24
EIN60Y_1676,53.1890041545286,2.0203534294577206,75488.09368720467,34825.0,24
