fid,latitude,longitude,tow,altitude,runway
EIN605P_1389,53.10905456542969,2.177254813058036,72111.11634055612,33050.0,24
EIN605P_1421,53.01219875529661,2.0396902901785716,66217.03671851606,36325.0,24
EIN605P_1422,53.02803039550781,2.004852294921875,70413.64172215984,35350.0,24
EIN605P_1435,53.00701904296875,2.04315185546875,66159.87578907443,31725.0,24
EIN605P_1436,52.98971402443061,2.007359095982143,71951.68502935464,33725.0,24
EIN605P_1459,53.11596369339247,2.0749619427849266,61366.57890267749,36000.0,24
EIN605P_1463,53.167236328125,2.0123814174107144,58809.654435411154,36000.0,24
EIN605P_1482,53.16293490135063,2.046526740579044,71574.6282190323,33850.0,24
EIN605P_1501,53.163848876953125,2.0403965541294644,62189.278279048514,35750.0,24
EIN605P_1521,52.998046875,2.0151279994419644,58905.09832943667,36000.0,24
EIN605P_1565,53.10572220107256,2.0253619025735294,63723.74784291569,34000.0,24
EIN605P_1588,53.026611328125,2.0317840576171875,78000.0,31474.999999999996,24
EIN605P_1592,53.0846340373411,2.134565080915179,70477.61916831898,33625.0,24
EIN605P_1595,53.12420654296875,2.0314505440848216,78000.0,31675.0,24
EIN605P_1612,53.026611328125,2.0317840576171875,78000.0,31474.999999999996,24
EIN605P_1644,53.12992936473781,2.0239078297334556,66640.14828684423,34475.0,24
EIN605P_1688,53.034027099609375,2.022705078125,78000.0,32374.999999999996,24
EIN605P_1689,52.986269158832094,2.0162266322544644,67787.94063927914,34025.0,24
EIN605P_1708,53.12406378277277,2.010659610523897,51766.71476896242,36000.0,24
EIN605P_1718,53.02821272510593,2.011753627232143,70970.31651261626,33600.0,24
EIN605P_1741,53.103515625,2.072178431919643,78000.0,32675.0,24
EIN605P_1794,53.167078050516416,2.0925723805147056,71875.03549188841,33100.0,24
EIN60R_1390,53.11335676807468,2.1664069680606617,66200.97607440114,34700.0,24
EIN60R_1420,53.060054455773304,2.134565080915179,61554.47027137923,35950.0,24
EIN60R_1422,53.16828918457031,2.013558523995536,60908.6599733972,35200.0,24
EIN60R_1435,53.183743751655186,2.1645489860983456,59400.0925709138,35950.0,24
EIN60R_1441,53.1654052734375,2.0270560128348216,63481.681617915,36000.0,24
EIN60R_1451,53.12059020996094,2.000453404017857,58254.22597272892,36025.0,24
EIN60R_1452,53.0783494852357,2.026585170200893,54796.87486526856,36000.0,24
EIN60R_1453,53.09632873535156,2.135114397321429,68685.34636367252,34300.0,24
EIN60R_1464,53.09014892578125,2.103271484375,70293.63314814855,32575.0,24
EIN60R_1466,53.2012939453125,2.1399913114659928,61320.13298878589,33925.0,24
EIN60R_1477,53.16398620605469,2.088971819196429,61527.1376391691,36000.0,24
EIN60R_1484,52.98119496490995,2.021955217633929,63896.51691892953,36000.0,24
EIN60R_1497,53.1497606180482,2.0773853975183822,74798.51976555628,33300.0,24
EIN60R_1503,53.156158447265625,2.10333251953125,67181.8456541567,34425.0,24
EIN60R_1515,53.18778991699219,2.0633108956473216,70575.72253680561,34650.0,24
EIN60R_1521,53.123412051443324,2.030047248391544,75813.54579604206,32450.0,24
EIN60R_1523,53.09813418630826,2.005166446461397,56678.72415563878,36000.0,24
EIN60R_1527,53.12485517081568,2.0152641745174633,58191.39931137665,36000.0,24
EIN60R_1535,53.05389404296875,2.17041015625,64872.7301135042,34750.0,24
EIN60R_1598,53.047943115234375,2.0774078369140625,67973.98373883235,35475.0,24
EIN60R_1629,53.047066381422134,2.010105678013393,61105.17290503882,35650.0,24
EIN60R_1654,53.05051124702065,2.001081194196429,76364.12393914658,32800.0,24
EIN60R_1656,53.06652521682997,2.025721958705357,64552.14730433843,34050.0,24
EIN60R_1677,53.15185546875,2.076577579273897,67596.02884957523,34500.0,24
EIN60R_1682,53.1356552899894,2.119472728056066,78000.0,32950.0,24
EIN60R_1704,53.09110479839777,2.0221121651785716,77730.50965009166,33875.0,24
EIN60R_1705,53.049812963453384,2.155988420758929,60757.328457221556,35500.0,24
EIN60R_1719,53.08360290527344,2.006988525390625,77169.76670404788,33650.0,24
