mass,ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuelflow,fid,obj,thrust,cost_grid,max_fuel
77219.99990000269,0.0,91897.63480155761,-43633.09465866531,30.480000304384035,52.32860183807406,4.7088398918974,100.0,0.3,198.3755,2039.0,3.1751,1.8413027583567854,EIN611_1579,fuel,118758.25494187092,0.07048607796785758,False
77178.63631218702,22.4548,92023.7460019643,-41359.74017948138,263.0134193738873,52.34902103511334,4.711322746238434,863.0,0.360541,237.7819,2263.0,3.1751,1.8092452105972496,EIN611_1579,fuel,110772.26422087592,0.06815645412654879,False
77138.00118468175,44.9096,92174.99523468851,-38633.23278301228,521.1611276534551,52.37351036175706,4.714303694487584,1710.0,0.426576,280.5073,2488.0,329.4929,1.793963483646963,EIN611_1579,fuel,107822.33592853739,0.06206657753053409,False
77097.73449841632,67.3644,90538.9983987172,-35856.64458172747,804.9231251432475,52.39875031974839,4.690964543920502,2641.0,0.493673,323.5764,2712.0,295.8107,1.7992362033400222,EIN611_1579,fuel,108796.90938484788,0.0530695923589464,False
77057.37390426836,89.8192,87191.50145095654,-34237.62899533939,1114.299411843236,52.41385461996683,4.642058604741544,3656.0,0.558294,364.6291,2937.0,294.0883,1.816515836286061,EIN611_1579,fuel,112328.76335908714,0.03742770313753752,False
77016.64504815581,112.274,83365.78983184313,-32527.24289626869,1449.2899877531552,52.42983387812542,4.586089942594711,4755.0,0.618107,402.1258,3000.0,294.0668,1.8243163871843429,EIN611_1579,fuel,114137.958035636,0.023050308900547874,False
76975.75576072931,134.7288,79144.30627477852,-30641.81538416693,1791.501193823254,52.44741844898812,4.524283774336679,5878.0,0.674352,436.9636,3000.0,294.058,1.8312894921936884,EIN611_1579,fuel,115904.16789919513,0.014063584029727308,False
76934.72002517384,157.1836,74554.95368776115,-28592.931636889523,2133.71239989342,52.46649122239843,4.4570355505356325,7000.0,0.727014,469.1887,3000.0,294.0568,1.8397473817582326,EIN611_1579,fuel,118285.75959902159,0.008308824866224753,False
76893.49807646254,179.6384,69625.67838420949,-26392.420410777515,2475.923605963635,52.48693302032432,4.384741518057313,8123.0,0.775591,498.5044,3000.0,294.0527,1.8475738605370162,EIN611_1579,fuel,120797.19739776183,0.005998137765560409,False
76852.09962521838,202.0932,64387.14153488631,-24054.29864742463,2818.1348120338826,52.50860497221393,4.307838095802413,9246.0,0.82,524.8891,3000.0,294.0411,1.8539084609524326,EIN611_1579,fuel,123650.03149337045,0.004674808901729309,False
76810.52337454236,224.548,58869.98210558666,-21593.155465146527,3160.346018104151,52.531363644218246,4.2267622361840935,10369.0,0.82,522.7211,3000.0,294.0397,1.8460950470973,EIN611_1579,fuel,120842.96502272022,0.003858215315287126,False
76769.12546195624,247.0028,53375.71544334661,-19142.39234057517,3502.5572241744067,52.55397128875002,4.145939325488905,11491.0,0.82,520.5442,3000.0,294.0551,1.8373988030265072,EIN611_1579,fuel,118165.673298729,0.0032886996869389428,False
76727.92441616846,269.4576,47905.15644311092,-16700.441801696434,3844.7684302446464,52.57644251553697,4.0653827481789495,12614.0,0.82,518.358,3000.0,294.0734,1.8278540942358534,EIN611_1579,fuel,115612.31848680906,0.0028572404781220615,False
76686.93741458318,291.9124,42458.52111344946,-14267.08321698728,4186.97963631487,52.59877990244881,3.9850967656888208,13737.0,0.82,516.1627,3000.0,294.0832,1.8175346194702562,EIN611_1579,fuel,113183.10706541315,0.0025208692619987315,False
76646.17986848851,314.3672,37035.54446905381,-11843.175837500072,4529.19084238508,52.620976357110436,3.9050783801716085,14860.0,0.82,513.9579,3000.0,294.0907,1.8065244228105644,EIN611_1579,fuel,110876.31035073417,0.0022624079262690746,False
76605.66506562532,336.822,31636.222774695936,-9428.996843866289,4871.402048455266,52.64302999487043,3.8253285653782196,15982.0,0.82,511.7436,3000.0,294.1081,1.7949311314661374,EIN611_1579,fuel,108691.93790373715,0.002043879030715062,False
76565.40387496242,359.2769,26261.072540369903,-7023.6637521412795,5213.61325452543,52.664949333887165,3.7458561156994614,17105.0,0.82,509.5198,3000.0,294.1279,1.7828464590990247,EIN611_1579,fuel,106625.59639718529,0.0018614390527513641,False
76525.40451461471,381.7317,20910.291669382554,-4627.011128900856,5555.824460595569,52.68673647617692,3.6666650060052586,18228.0,0.82,507.2861,3000.0,294.136,1.7703969080215216,EIN611_1579,fuel,104677.66094909517,0.0017105343778880766,False
76485.6723807202,404.1865,15583.486445835784,-2240.1977112612285,5898.035666665679,52.70838163942586,3.587750356254648,19351.0,0.82,505.0426,3000.0,294.1324,1.7577061694689395,EIN611_1579,fuel,102847.21054163306,0.0015801849329532625,False
