mass,ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuelflow,fid,obj,thrust,cost_grid,max_fuel
60625.35251894697,0.0,-74879.12971016833,50672.18698122851,30.480000035606505,52.32129689597925,4.779956289195559,100.0,0.3,198.3755,2500.0,183.0038,1.8053206369318995,AUA34F_1245,fuel,104853.77024151722,0.3763326056636403,False
60586.53047235935,21.4897,-74992.9926646492,48502.27642949268,303.399061879917,52.30176958386296,4.778766583335318,995.0,0.36901,243.2557,2758.0,183.0038,1.7442469420568276,AUA34F_1245,fuel,98693.38306533491,0.18820769685657546,False
60549.063977282116,42.9794,-75132.79581761431,45838.017995588394,604.4698676789649,52.27779355573557,4.777307154138957,1983.0,0.440706,289.5238,3000.0,150.7692,1.7330372172987079,AUA34F_1245,fuel,97630.42709863925,0.09748194215762124,False
60511.88982372527,64.4691,-73580.8389886063,43064.618653720296,931.9727416859204,52.25306491926219,4.800723504829122,3058.0,0.51531,337.2646,3000.0,121.3866,1.716134481647631,AUA34F_1245,fuel,96062.1762408291,0.06760057464716614,False
60475.135137076024,85.9588,-70416.1271573177,41133.88809207739,1259.4756157793654,52.236117593239435,4.847614023511726,4132.0,0.56778,370.2011,3000.0,121.3885,1.723885202315629,AUA34F_1245,fuel,96776.2913793053,0.0519850966733563,False
60438.24846454707,107.4484,-66940.20808511668,39013.13360976624,1586.978489922554,52.217480869402394,4.8990743600157,5207.0,0.578417,375.6998,3000.0,121.3882,1.7147822739463239,AUA34F_1245,fuel,95938.43577809156,0.04132516412092005,False
60401.56014390801,128.9381,-63412.37311241137,36860.730327689584,1914.4813640442226,52.198543160350695,4.95125912754297,6281.0,0.589306,381.3036,3000.0,121.3971,1.7056084061749794,AUA34F_1245,fuel,95105.39952761725,0.04026365871709724,False
60365.07196501706,150.4278,-59831.98783434956,34675.49959520911,2241.9842381429394,52.17929295504926,5.004175889483766,7356.0,0.600455,387.0145,3000.0,121.4082,1.696337872661273,AUA34F_1245,fuel,94274.71927863706,0.041395092901141704,False
60328.78572093509,171.9175,-56198.14010849462,32456.677943320785,2569.4871122171185,52.159722475184815,5.057836116539938,8430.0,0.61187,392.8343,3000.0,121.4222,1.686996175410453,AUA34F_1245,fuel,93448.55816821111,0.044521144488142976,False
60292.703210059284,193.4072,-52509.93880956578,30203.427466096215,2896.989986264995,52.13982323422535,5.112250897129641,9505.0,0.623557,398.7651,3000.0,121.4301,1.6775565906647394,AUA34F_1245,fuel,92624.43630044378,0.04783250872430715,False
60256.826238275746,214.8969,-48766.11454219174,27915.489302280286,3224.492860284591,52.119591949251785,5.167436685770519,10579.0,0.635524,404.8086,3000.0,121.4363,1.66804519339862,AUA34F_1245,fuel,91804.51902358129,0.044951649455166914,False
60221.156621116585,236.3866,-44965.552617989386,25592.311097670652,3551.995734273688,52.09902263752433,5.223407634717581,11654.0,0.647778,410.9668,3000.0,121.4448,1.658434097266842,AUA34F_1245,fuel,90986.29704585529,0.04044564044780573,False
60185.69618590494,257.8763,-41107.28017327196,23233.06865445309,3879.4986082297887,52.078106816397664,5.280175766508522,12728.0,0.660325,417.2415,3000.0,121.456,1.6487501363480725,AUA34F_1245,fuel,90171.95478270722,0.03539496179936449,False
60150.446773869495,279.366,-37190.32882595453,20836.891095736828,4207.001482150055,52.05683554149548,5.337752945120048,13802.0,0.673174,423.6347,3000.0,121.4739,1.6389787727137415,AUA34F_1245,fuel,89360.15340191906,0.02962671988776367,False
60115.41024220849,300.8557,-33213.88696334757,18402.612573165126,4534.504356031254,52.03519716407609,5.396148669157644,14877.0,0.686331,430.1481,3000.0,121.4945,1.6291042571475962,AUA34F_1245,fuel,88549.51664013846,0.02620757894138936,False
60080.58846608066,322.3453,-29176.9647493952,15929.320476602377,4862.007229869682,52.01318228365778,5.455374905251949,15951.0,0.699803,436.7836,3000.0,121.5172,1.6191545459999737,AUA34F_1245,fuel,87742.25571649711,0.024037513571625306,False
60045.98334049806,343.835,-25078.54280159885,13416.11283505112,5189.510103661069,51.990781552446535,5.515443940880741,17026.0,0.7136,443.543,3000.0,121.5392,1.6090990419215963,AUA34F_1245,fuel,86935.80950745264,0.023550795660122838,False
60011.59678209446,365.3247,-20917.459959352327,10862.281812853149,5517.0129774004445,51.9679873278903,5.576370008458656,18100.0,0.727728,450.428,3000.0,121.5659,1.5989662267323204,AUA34F_1245,fuel,86132.38876405093,0.023108300401273985,False
59977.4307307388,386.8144,-16692.785818331184,8266.70735011158,5844.5158510819965,51.944788202189265,5.63816388415569,19175.0,0.742195,457.4403,3000.0,121.6036,1.588724499867249,AUA34F_1245,fuel,85329.41958384548,0.022425077814035323,False
59943.4871509621,408.3041,-12403.871188934549,5627.777848441206,6172.018724698862,51.92116829576732,5.700832135488494,20249.0,0.75701,464.5817,3000.0,121.6463,1.578403179375495,AUA34F_1245,fuel,84529.13693166692,0.016582845572773636,False
