mass,ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuelflow,fid,obj,thrust,cost_grid,max_fuel
65080.552984056194,0.0,-74626.97343760643,52846.83271450161,30.480000304258805,52.32129690626166,4.77995611909242,100.0,0.3,198.3755,2500.0,183.0038,1.8751073100382285,AUA34F_1160,fuel,112873.75793116682,0.17029662007490445,False
65039.92373322529,21.651,-74741.68953916249,50660.66346545002,305.44722789435036,52.301623317002694,4.778755814423208,1002.0,0.369535,243.5964,2760.0,183.0038,1.8096757096546003,AUA34F_1160,fuel,105320.05077498357,0.11034480099750493,False
65000.75041888733,43.3019,-74882.73833639012,47972.66641070378,608.9903246383224,52.277433707121716,4.777281323564405,1998.0,0.441799,290.2266,3000.0,150.5273,1.7906238145831834,AUA34F_1160,fuel,103308.85658001094,0.07390737156293228,False
64962.03825224729,64.9529,-73303.51008846055,45178.28381358645,938.9509977461178,52.25251925329614,4.801100514394525,3081.0,0.517004,338.3464,3000.0,123.3031,1.7666137686306218,AUA34F_1160,fuel,100873.21290085676,0.058459182681227864,False
64923.90132146376,86.6039,-70171.84391743488,43120.9204184615,1268.91167085399,52.2344273264015,4.847530001623664,4163.0,0.568083,370.3581,3000.0,123.2555,1.7687542878231473,AUA34F_1160,fuel,101086.17232796461,0.04656324436636781,False
64885.75115431377,108.2548,-66739.89569412268,40870.366399944985,1598.8723439619114,52.21461643476406,4.898367131083892,5246.0,0.578808,375.9014,3000.0,123.2263,1.7597185997365983,AUA34F_1160,fuel,100192.50545707149,0.03872647604063673,False
64847.799388393934,129.9058,-63255.143646933786,38587.72133674176,1928.833017069804,52.19450120351843,4.9499395552543906,6328.0,0.589789,381.5516,3000.0,123.2606,1.7506001039559325,AUA34F_1160,fuel,99304.35472773746,0.03917268323348393,False
64810.04806414552,151.5567,-59719.13068095805,36268.47418066819,2258.7936901776684,52.17403991557558,5.002223427640569,7411.0,0.601034,387.3105,3000.0,123.2873,1.7413755178253394,AUA34F_1160,fuel,98419.29556219533,0.04196427737431888,False
64772.49921710285,173.2077,-56130.58143153091,33912.37624911717,2588.7543632855,52.15322949656847,5.055235319253202,8493.0,0.61255,393.1802,3000.0,123.2698,1.7320686590325165,AUA34F_1160,fuel,97539.46168098404,0.04397334689887107,False
64735.15487974951,194.8587,-52486.66134892896,31521.51286353755,2918.7150363932983,52.13208796398369,5.109014205022558,9576.0,0.624342,399.1625,3000.0,123.2191,1.7226551780238597,AUA34F_1160,fuel,96662.40542992216,0.04487700309878126,False
64698.017083402054,216.5096,-48784.89647783469,29097.384594327727,3248.675709501061,52.1106279574928,5.163593846577296,10658.0,0.636419,405.2594,3000.0,123.2061,1.7131595100061483,AUA34F_1160,fuel,95790.26333811245,0.04185480271891986,False
64661.08786010565,238.1606,-45025.784752579755,26636.918563114712,3578.6363826087827,52.088820666257945,5.21896508293877,11741.0,0.648787,411.4728,3000.0,123.1975,1.7035563231633037,AUA34F_1160,fuel,94920.57444439473,0.037209983642259366,False
64624.36924452293,259.8116,-41208.41908485685,24139.145229304973,3908.5970557164624,52.066656297585695,5.275138894458328,12823.0,0.661454,417.8047,3000.0,123.1597,1.6938707451344492,AUA34F_1160,fuel,94055.48556156903,0.032436651914983065,False
64587.86327579673,281.4625,-37330.40165460815,21605.3361204957,4238.557728824095,52.04414527330574,5.332147707346268,13906.0,0.674428,424.257,3000.0,123.0886,1.6840764191983464,AUA34F_1160,fuel,93192.51946065223,0.02741048713344226,False
64551.57199936471,303.1135,-33389.07353816783,19037.13331695634,4568.518401931676,52.02130128081558,5.390027680948895,14989.0,0.687715,430.8315,3000.0,123.0279,1.6741855554251057,AUA34F_1160,fuel,92332.65805522565,0.024617134215284078,False
64515.497468700894,324.7644,-29383.68233247882,16433.224416930705,4898.479075039202,51.99811124421536,5.448787344471748,16071.0,0.701324,437.5302,3000.0,123.0148,1.6642112905033775,AUA34F_1160,fuel,91476.90833417611,0.022971775556656547,False
64479.64174695766,346.4154,-25315.185212038996,13789.622075520365,5228.439748146667,51.974537913995334,5.508410346017796,17154.0,0.715262,444.3548,3000.0,122.9863,1.654125656563014,AUA34F_1160,fuel,90622.76440968257,0.022376328978430546,False
64444.006908478616,368.0664,-21181.679267929198,11106.698400270207,5558.400421254062,51.95058336550154,5.5689215937279295,18236.0,0.729537,451.3071,3000.0,122.952,1.6439554110945664,AUA34F_1160,fuel,89772.39148560172,0.02180650482010869,False
64408.59504015002,389.7173,-16981.65985118024,8384.178461845568,5888.36109436138,51.9262437688758,5.63034013842862,19319.0,0.744158,458.3889,3000.0,122.9081,1.633671765935192,AUA34F_1160,fuel,88923.28683738038,0.021330100463030764,False
64373.408242555546,411.3683,-12713.417872235044,5622.0697701971885,6218.321767468613,51.90151777511964,5.692687897621622,20401.0,0.759133,465.6018,3000.0,122.8884,1.6233020789131434,AUA34F_1160,fuel,88077.61966031519,0.012786974066818455,False
