mass,ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuelflow,fid,obj,thrust,cost_grid,max_fuel
71311.00495643528,0.0,-74874.18053456792,53265.39548151218,30.480000089826454,52.32129689418698,4.779956086832947,100.0,0.3,198.3755,2477.0,183.0038,1.9523343169452096,AUA3NA_1073,fuel,123625.04244842824,0.17462324219228811,False
71268.39844919262,21.8063,-74989.73639909817,51063.22276248789,304.83302067808586,52.301479254398664,4.7787486158115104,1000.0,0.359109,236.7249,2738.0,183.0038,1.9010569191109985,AUA3NA_1073,fuel,116216.0413429002,0.09454060360157589,False
71226.93151521885,43.6126,-75127.75348080785,48433.0018443549,608.1733568858368,52.27780953915396,4.777307739504901,1995.0,0.423216,278.0219,3000.0,150.2943,1.8780871078734669,AUA3NA_1073,fuel,113246.04045560984,0.0664892157725571,False
71186.0036015368,65.4188,-73593.86640669624,45744.429424468784,940.5010033926316,52.253841193251404,4.8004399863916545,3086.0,0.488172,319.4721,3000.0,123.1162,1.8361718346787752,AUA3NA_1073,fuel,108247.62277527095,0.05465211095342707,False
71146.03410157998,87.2251,-70610.744920643,43798.555218565685,1272.8286504488995,52.236734435082774,4.844668091275037,4176.0,0.555579,362.1895,3000.0,123.1151,1.824329452364418,AUA3NA_1073,fuel,106919.20588884475,0.04528622803405516,False
71106.36818624502,109.0314,-67225.53314949709,41590.493806545725,1605.1562976593395,52.21730272265361,4.894816311778605,5266.0,0.579015,376.008,3000.0,123.103,1.8184163218815155,AUA3NA_1073,fuel,106268.16397549349,0.0374593113761639,False
71066.84290050248,130.8377,-63709.89055724517,39298.41233824718,1937.4839448622308,52.19710932559349,4.946850066188272,6357.0,0.590081,381.7012,3000.0,123.1095,1.8095233262292452,AUA3NA_1073,fuel,105303.66801727342,0.03758711976887817,False
71027.51420787709,152.6439,-60141.0088527812,36971.04442218621,2269.811592038457,52.17658155635894,4.999623527391276,7447.0,0.601414,387.5047,3000.0,123.1177,1.8005309392151525,AUA3NA_1073,fuel,104345.51050078191,0.03943943206317111,False
70988.38449170845,174.4502,-56517.9360157235,34607.59705904541,2602.139239186059,52.15571136657482,5.053148608010515,8537.0,0.613023,393.4206,3000.0,123.1059,1.7914297007675424,AUA3NA_1073,fuel,103392.46226886316,0.041918507841180855,False
70949.45612167394,196.2565,-52838.79649033518,32208.652472825066,2934.466886302844,52.134503125048816,5.107450444700825,9628.0,0.624912,399.4509,3000.0,123.1179,1.7822091828386553,AUA3NA_1073,fuel,102443.27240117942,0.04370292638495288,False
