fid,fuel,cost_grid,people_affected_sum_all,pp_unique_sum,map_type,frn
ITY113_1804,814.4353932223951,1.4867519609429862,149609.00425720215,65266.23531341553,DN,n
TRA6875_1499,937.7269954220038,2.2639248017454774,6387981.943317413,2479695.4899749756,DN,n
VLG12BR_219,982.1826661859234,1.632964421980216,4208711.864174604,1347541.2037223577,DN,n
EIN60Y_1710,2152.6841972620005,1.4172875517977257,1223926.2312927246,391298.7596244812,DN,n
EIN611_1579,1085.1661736423366,1.8802987166147438,2804373.3934936523,629613.1110610962,DN,n
EIN84T_1587,1460.442896004923,1.444507386479672,1614352.381286621,495060.8047904968,DN,n
DLH3A_603,992.7544953737505,1.9092436890847628,4633683.878450394,1445689.0159053802,DN,n
EZY84JU_960,1209.4337877461821,1.7193467186516456,1272212.367734909,446217.2266111374,DN,n
EIN84X_1515,1374.5954051608032,0.9587455308949804,1890274.500579834,856301.9320602417,DN,n
EJU5284_1390,1131.3211475182352,2.1575691439844817,6751098.509876251,1393530.4657711983,DN,n
EJU42KM_1219,1171.6924681706855,2.244037548464183,6906915.169138432,1432513.8182063103,DN,n
EZS39RG_1538,995.8457285961248,1.5826409024705086,1845020.5853157043,792183.3630218506,DN,n
