fid,fuel,people_affected_sum_all,pp_unique_sum
AUA3SV_1122,,279225.84202446043,241288.82938589156
DLH4UX_557,,449650.240819633,228223.48496595025
EIN60R_1659,1581.733902687265,379597.36392351985,235414.61390304565
EIN611_1579,1633.023875352068,260891.7325015068,208917.61732137203
EIN84X_1515,1649.4546936424013,322683.1889973879,228567.3136845827
EZY16MH_978,1559.6996690047163,187911.65570786595,163251.32579684258
ITY109_1534,,339200.53840065,243698.90260457993
ITY121_1784,,228746.53151986003,156310.42280480266
VLG41JT_193,1503.2542509956183,151126.74272152781,122934.737039119
VLG8379_316,1604.8717903157958,330375.202760309,211195.1750394106
VLG98RR_135,,238433.76374471188,200310.6822720766
