fid,fuel,people_affected_sum_all,pp_unique_sum
AUA3NA_1248,1429.8700149778742,424642.24967992306,170419.28680855036
AUA3NA_1264,1519.4090750821924,250759.46918541193,203624.4205839634
EIN611_1587,1560.8517645266693,562592.3290816545,454396.2939167619
EIN611_1606,1540.145622447948,796836.190890491,584407.2077581286
EIN84T_1564,1477.3971421984388,259628.37188744545,176311.78941756487
EIN84T_1633,1597.7754131810798,225611.74019652605,182887.13609552383
EIN84X_1589,1558.4553738883696,933772.6009471416,566184.1579868793
EJU13CB_1081,1478.0195893258497,745518.8001198769,692009.8320021033
EJU78CP_1097,1454.480351063452,240235.96921998262,137428.55656450987
VLG139G_110,1549.2187484082679,151471.8140218854,96052.98671072721
VLG49VA_328,1482.2569876955822,265150.13286072016,251716.34054231644
