fid,fuel,cost_grid,people_affected_sum_all,pp_unique_sum,map_type,frn
EJU78CP_1097,1074.992180061321,0.7894630857266376,17613.66654586792,8806.83327293396,N,n
EIN84X_1589,1385.2765228942053,0.9323179053977431,16347.913002252579,8173.956501126289,N,n
EIN84T_1633,1302.0289215623914,0.9325199158847532,21060.11075615883,10530.055378079414,N,n
AUA3NA_1264,1030.5759333885533,0.9503959446079102,999.5734904408455,758.1823303103447,N,n
EIN84T_1564,1335.36244515333,0.6352282494278048,10277.94523525238,5138.97261762619,N,n
VLG139G_110,1014.1832455934984,0.7779322923544907,16239.63164138794,8762.883081436157,N,n
VLG49VA_328,1033.9224495842952,0.7658087419182599,4102.805475354195,3728.59933757782,N,n
EIN611_1606,1354.9192962044192,0.45484273332988184,20242.097337841988,20242.097337841988,N,n
EIN611_1587,2169.741840085818,0.7192623219031771,17703.16868543625,15214.097274780273,N,n
EJU13CB_1081,881.1035892434809,0.7332348842795304,6842.738681793213,3421.3693408966064,N,n
AUA3NA_1248,1146.383697498397,0.9307066011755011,24835.74880707264,12392.549665987492,N,n
