,NPD_ID,noise_metric,op_mode,Power Setting,L_200ft,L_400ft,L_630ft,L_1000ft,L_2000ft,L_4000ft,L_6300ft,L_10000ft,L_16000ft,L_25000ft,ACFT_ID,description,Number Of Engines,Noise Chapter,Power Parameter,thrust_n
118,CFM565,LAmax,A,2700.0,91.7,84.4,79.7,74.8,67.0,58.5,52.2,45.3,37.5,29.5,A320-211,Airbus A320-211 / CFM56-5A1,2,3,CNT (lb),12010.194
119,CFM565,LAmax,A,6000.0,93.8,86.1,80.9,75.6,67.4,58.7,52.4,45.5,37.7,29.7,A320-211,Airbus A320-211 / CFM56-5A1,2,3,CNT (lb),26689.32
120,CFM565,LAmax,D,12000.0,100.3,92.0,86.2,80.3,71.1,61.7,55.4,48.6,40.9,33.1,A320-211,Airbus A320-211 / CFM56-5A1,2,3,CNT (lb),53378.64
121,CFM565,LAmax,D,15500.0,102.5,94.9,89.5,83.6,74.0,65.0,58.8,52.1,44.7,36.8,A320-211,Airbus A320-211 / CFM56-5A1,2,3,CNT (lb),68947.41
122,CFM565,LAmax,D,19000.0,104.3,96.6,91.1,85.7,77.2,68.2,62.2,55.5,47.9,40.0,A320-211,Airbus A320-211 / CFM56-5A1,2,3,CNT (lb),84516.18000000001
123,CFM565,LAmax,D,22500.0,105.9,98.9,94.1,88.9,80.9,72.5,66.1,59.4,51.7,43.3,A320-211,Airbus A320-211 / CFM56-5A1,2,3,CNT (lb),100084.95
130,CFM565,SEL,A,2700.0,96.6,90.5,87.5,84.2,78.9,72.8,68.2,62.9,56.8,50.3,A320-211,Airbus A320-211 / CFM56-5A1,2,3,CNT (lb),12010.194
131,CFM565,SEL,A,6000.0,97.4,91.6,88.2,84.8,79.3,73.1,68.5,63.3,57.1,50.6,A320-211,Airbus A320-211 / CFM56-5A1,2,3,CNT (lb),26689.32
132,CFM565,SEL,D,12000.0,100.9,96.2,92.4,88.3,81.9,75.5,71.1,66.0,60.0,53.8,A320-211,Airbus A320-211 / CFM56-5A1,2,3,CNT (lb),53378.64
133,CFM565,SEL,D,15500.0,103.6,99.0,95.3,91.5,85.6,79.3,74.9,69.9,64.2,57.9,A320-211,Airbus A320-211 / CFM56-5A1,2,3,CNT (lb),68947.41
134,CFM565,SEL,D,19000.0,104.7,100.5,97.3,93.9,88.3,82.4,78.1,73.2,67.3,61.0,A320-211,Airbus A320-211 / CFM56-5A1,2,3,CNT (lb),84516.18000000001
135,CFM565,SEL,D,22500.0,106.5,102.4,99.6,96.4,91.4,85.7,81.5,76.5,70.8,64.3,A320-211,Airbus A320-211 / CFM56-5A1,2,3,CNT (lb),100084.95
